station,start_time,zr_hours,label,duration,lon,lat
MCN,2014-03-06 16:15,0.63,0,0.0,-83.6492,32.6928
HKY,2014-03-06 23:38,2.47,0,2.38,-81.3896,35.7412
BUY,2014-03-06 23:54,54.95,1,13.38,-79.4749,36.0485
INT,2014-03-07 00:08,11.88,1,14.98,-80.222,36.1337
GSO,2014-03-07 01:47,8.57,1,14.87,-79.9436,36.0975
IGX,2014-03-07 02:32,5.83,0,12.4,-79.0642,35.9333
DAN,2014-03-07 08:53,3.37,0,6.0,-79.3361,36.5729
RIC,2014-03-07 09:34,3.25,0,2.58,-77.3234,37.5115
LYH,2014-03-07 10:32,1.95,0,4.7,-79.2067,37.3208
CHO,2014-03-07 11:19,0.72,0,0.57,-78.4529,38.1386
OFP,2014-03-07 11:21,0.97,0,0.55,-77.4366,37.7089
ROA,2014-03-07 14:15,0.1,0,0.0,-79.9737,37.3172
