station,start_time,zr_hours,label,duration,lon,lat
HAO,2004-01-17 16:22,2.83,0,2.52,-84.5219,39.3638
ILN,2004-01-17 17:54,2.57,0,2.0,-83.8217,39.4203
AOH,2004-01-17 18:10,4.52,0,3.72,-84.0267,40.7069
DFI,2004-01-17 18:30,4.55,0,4.38,-84.4288,41.3375
FDY,2004-01-17 18:56,1.62,0,1.42,-83.6686,41.0136
OSU,2004-01-17 19:32,5.53,0,5.35,-83.08,40.08
MNN,2004-01-17 20:16,4.17,0,5.62,-83.0635,40.6162
DTW,2004-01-17 20:19,1.3,0,0.62,-83.33,42.23
VTA,2004-01-17 20:36,5.2,0,5.3,-82.4618,40.0247
TDZ,2004-01-17 20:53,0.58,0,0.2,-83.4764,41.5631
MFD,2004-01-17 21:22,3.27,0,13.5,-82.52,40.82
IAD,2004-01-17 22:14,9.5,1,14.9,-77.4473,38.9348
LPR,2004-01-17 22:32,2.85,0,2.72,-82.1794,41.3461
BJJ,2004-01-17 22:46,3.77,0,3.5,-81.8882,40.8748
BKL,2004-01-17 22:53,1.92,0,3.0,-81.6833,41.5175
PHD,2004-01-17 22:53,3.25,0,3.0,-81.4236,40.4719
NYG,2004-01-17 22:55,5.0,0,9.0,-77.3053,38.5017
MRB,2004-01-17 23:13,1.63,0,19.9,-77.9847,39.4019
DCA,2004-01-17 23:17,3.38,0,7.57,-77.0346,38.8472
EKN,2004-01-17 23:20,11.77,1,11.52,-79.8528,38.8853
LBE,2004-01-17 23:28,1.65,0,1.32,-79.4048,40.2759
ADW,2004-01-17 23:35,7.35,1,10.33,-76.867,38.8108
CAK,2004-01-18 00:04,1.08,0,1.25,-81.4422,40.9161
BWI,2004-01-18 00:13,4.77,0,8.97,-76.6683,39.1754
HLG,2004-01-18 00:16,2.62,0,2.32,-80.6463,40.175
GKJ,2004-01-18 00:32,7.2,1,7.02,-80.2147,41.6265
YNG,2004-01-18 00:34,2.87,0,2.28,-80.6739,41.2544
PIT,2004-01-18 00:51,1.02,0,1.0,-80.2329,40.4915
WAL,2004-01-18 01:02,2.25,0,24.3,-75.4631,37.9406
AGC,2004-01-18 01:30,0.78,0,0.38,-79.9217,40.3547
ERI,2004-01-18 01:31,3.67,0,4.33,-80.18,42.08
HZY,2004-01-18 01:53,2.28,0,2.0,-80.6955,41.778
GED,2004-01-18 01:54,9.12,1,12.0,-75.3589,38.6892
DOV,2004-01-18 02:05,6.42,1,6.83,-75.46600000000001,39.1295
OXB,2004-01-18 02:23,6.97,1,9.5,-75.1239,38.3083
BFD,2004-01-18 02:33,3.97,0,9.33,-78.6401,41.8031
PEO,2004-01-18 02:53,1.0,0,0.0,-77.0529,42.6371
NAK,2004-01-18 03:17,1.08,0,2.75,-76.4891,38.9913
DUJ,2004-01-18 03:38,2.82,0,2.3,-78.9,41.18
SBY,2004-01-18 03:54,1.17,0,2.0,-75.5103,38.3405
NHK,2004-01-18 03:55,2.0,0,1.0,-76.4118,38.286
FIG,2004-01-18 04:01,1.97,0,2.17,-78.4117,41.0467
THV,2004-01-18 04:25,4.53,0,12.03,-76.873,39.917
ILG,2004-01-18 05:41,3.78,0,5.17,-75.6008,39.6728
