station,start_time,zr_hours,label,duration,lon,lat
OGS,1986-12-25 03:00,106.0,1,0.0,-75.4655,44.6819
MSS,1986-12-25 03:00,5.0,0,4.0,-74.8456,44.9358
LEB,1986-12-25 08:00,1.0,0,0.0,-72.3042,43.6261
MPV,1986-12-25 09:00,1.17,0,1.0,-72.5623,44.2035
NHZ,1986-12-25 10:00,2.0,0,1.0,-69.9386,43.8922
AUG,1986-12-25 12:00,2.42,0,2.0,-69.8,44.32
OLD,1986-12-25 13:00,0.5,0,0.0,-68.6743,44.9525
BGR,1986-12-25 13:00,0.5,0,0.0,-68.8281,44.8074
HUL,1986-12-25 15:00,9.0,1,8.0,-67.7921,46.1231
CAR,1986-12-25 15:00,5.07,0,5.0,-68.02,46.87
MWN,1986-12-25 17:00,9.0,1,10.0,-71.3035,44.2708
PQI,1986-12-25 17:40,1.33,0,0.0,-68.0448,46.68899999999999
