station,start_time,zr_hours,label,duration,lon,lat
FIG,2004-01-02 07:33,1.58,0,1.4,-78.4117,41.0467
ROC,2004-01-02 08:54,2.0,0,1.0,-77.6767,43.1167
ELM,2004-01-02 09:53,1.0,0,0.0,-76.8994,42.1571
ITH,2004-01-02 10:50,1.0,0,0.0,-76.4584,42.49100000000001
BGM,2004-01-02 11:53,1.0,0,0.0,-75.9797,42.2086
MPO,2004-01-02 11:53,0.38,0,0.0,-75.3794,41.1389
CDW,2004-01-02 12:28,0.42,0,0.0,-74.2831,40.8764
VSF,2004-01-02 16:54,3.0,0,19.0,-72.5173,43.3436
AFN,2004-01-02 17:01,3.55,0,19.85,-72.003,42.8051
MHT,2004-01-02 17:06,4.1,0,21.05,-71.4358,42.9328
FIT,2004-01-02 17:52,3.0,0,19.0,-71.7558,42.5519
BVY,2004-01-02 17:53,25.0,1,24.0,-70.9161,42.5841
LWM,2004-01-02 17:54,5.0,0,21.0,-71.1234,42.7172
