station,start_time,zr_hours,label,duration,lon,lat
ORD,1993-01-02 20:00,3.35,0,7.0,-87.9319,41.9875
RFD,1993-01-02 21:00,3.85,0,7.0,-89.09299999999999,42.1927
FWA,1993-01-02 21:00,5.2,0,7.0,-85.1871,40.978
MSN,1993-01-02 22:00,2.68,0,2.0,-89.3453,43.1406
GUS,1993-01-02 22:00,5.18,0,5.0,-86.1521,40.6481
UGN,1993-01-02 23:00,0.2,0,0.0,-87.8679,42.4222
IND,1993-01-02 23:00,3.0,0,2.0,-86.3048,39.7084
MIE,1993-01-03 00:00,1.0,0,0.0,-85.3958,40.2425
DAY,1993-01-03 00:10,3.22,0,2.83,-84.2186,39.9061
MKE,1993-01-03 01:00,2.0,0,1.0,-87.8967,42.9472
SBN,1993-01-03 01:00,4.0,0,3.0,-86.3164,41.7072
CAK,1993-01-03 02:00,1.85,0,7.0,-81.4422,40.9161
MKG,1993-01-03 02:00,4.9,0,6.0,-86.2367,43.1711
CLE,1993-01-03 02:00,2.42,0,6.0,-81.8528,41.405
GRB,1993-01-03 02:00,0.47,0,1.0,-88.1367,44.4794
FDY,1993-01-03 02:23,1.62,0,0.62,-83.6686,41.0136
LNN,1993-01-03 03:00,1.0,0,0.0,-81.3898,41.684
MBS,1993-01-03 03:00,2.8,0,7.0,-84.08,43.53
AZO,1993-01-03 03:00,2.0,0,1.0,-85.5519,42.2347
CGF,1993-01-03 03:00,1.0,0,0.0,-81.4864,41.5651
IKW,1993-01-03 03:00,6.0,1,7.0,-84.2613,43.6629
TOL,1993-01-03 03:00,2.93,0,3.0,-83.8014,41.5886
YIP,1993-01-03 04:00,5.0,0,11.0,-83.5304,42.2379
YNG,1993-01-03 04:00,2.65,0,6.0,-80.6739,41.2544
GRR,1993-01-03 04:00,2.58,0,3.0,-85.52,42.88
FNT,1993-01-03 04:00,3.68,0,6.0,-83.7494,42.9667
DTW,1993-01-03 04:00,3.52,0,3.0,-83.33,42.23
JXN,1993-01-03 04:00,6.0,1,5.0,-84.4594,42.2598
MTC,1993-01-03 05:00,1.53,0,1.0,-82.8355,42.6083
LAN,1993-01-03 05:00,3.03,0,4.0,-84.58,42.78
PLN,1993-01-03 06:00,4.25,0,4.0,-84.7967,45.5709
TVC,1993-01-03 06:00,1.5,0,1.0,-85.5824,44.7416
ERI,1993-01-03 07:02,3.63,0,2.97,-80.18,42.08
ANJ,1993-01-03 08:00,0.57,0,0.0,-84.3684,46.4792
