station,start_time,zr_hours,label,duration,lon,lat
HON,2018-11-17 01:45,0.08,0,0.0,-98.2286,44.3852
RCA,2018-11-17 02:30,1.43,0,1.87,-103.1036,44.1451
MHE,2018-11-17 03:19,1.32,0,1.18,-98.0386,43.7748
MIW,2018-11-17 04:25,5.15,0,9.62,-92.9163,42.1106
FSD,2018-11-17 04:37,1.38,0,1.32,-96.7536,43.5769
AMW,2018-11-17 04:45,4.58,0,8.13,-93.6185,41.9904
RAP,2018-11-17 05:25,0.08,0,0.0,-103.0574,44.0453
SPW,2018-11-17 06:05,0.75,0,1.33,-95.2101,43.1682
IEN,2018-11-17 06:09,1.52,0,2.18,-102.51100000000001,43.0225
PHP,2018-11-17 06:14,0.35,0,0.27,-101.6,44.05
ICR,2018-11-17 06:35,0.67,0,0.75,-99.8422,43.3903
IOW,2018-11-17 08:15,1.92,0,1.83,-91.5445,41.6394
DSM,2018-11-17 10:51,0.52,0,0.48,-93.6531,41.534
LWD,2018-11-17 15:10,0.08,0,0.0,-93.9005,40.6306
