station,start_time,zr_hours,label,duration,lon,lat
FCM,2002-03-07 20:53,4.58,0,34.52,-93.4607,44.8261
PHP,2002-03-07 21:46,4.2,0,6.15,-101.6,44.05
EST,2002-03-07 21:52,13.0,1,30.0,-94.7476,43.4008
SPW,2002-03-07 21:53,7.0,1,26.0,-95.2101,43.1682
SUX,2002-03-07 22:26,3.9,0,25.15,-96.3795,42.3917
ATY,2002-03-07 22:43,1.88,0,1.65,-97.1547,44.913999999999994
MHE,2002-03-07 22:59,2.53,0,2.0,-98.0386,43.7748
RST,2002-03-08 00:37,8.57,1,35.28,-92.4916,43.9041
FSD,2002-03-08 02:24,1.67,0,21.63,-96.7536,43.5769
MSP,2002-03-08 02:53,4.7,0,28.48,-93.2313,44.8854
