station,start_time,zr_hours,label,duration,lon,lat
HKY,1995-01-06 13:00,4.0,0,11.0,-81.3896,35.7412
LOZ,1995-01-06 13:35,4.42,0,5.42,-84.07700000000001,37.086999999999996
DAY,1995-01-06 14:00,7.12,1,13.0,-84.2186,39.9061
FFO,1995-01-06 14:02,4.82,0,7.62,-84.0483,39.8261
LEX,1995-01-06 14:20,3.67,0,2.8,-84.6058,38.0408
TYS,1995-01-06 15:00,6.3,1,6.4,-83.9858,35.8181
MIE,1995-01-06 16:00,2.05,0,2.0,-85.3958,40.2425
LUK,1995-01-06 16:00,5.47,0,5.0,-84.4186,39.1033
JKL,1995-01-06 16:00,3.75,0,4.0,-83.3144,37.5914
CVG,1995-01-06 16:00,4.2,0,4.0,-84.6717,39.0431
TRI,1995-01-06 16:04,2.37,0,1.93,-82.4074,36.4752
HTS,1995-01-06 16:35,4.57,0,4.42,-82.555,38.365
CMH,1995-01-06 17:00,4.65,0,4.05,-82.8808,39.9914
SGH,1995-01-06 17:00,1.23,0,1.0,-83.8402,39.8403
AVL,1995-01-06 17:00,2.37,0,2.0,-82.5375,35.4319
BLF,1995-01-06 17:30,1.5,0,0.5,-81.2077,37.2958
PDK,1995-01-06 17:58,1.03,0,1.03,-84.302,33.8756
OSU,1995-01-06 18:00,4.0,0,5.0,-83.08,40.08
CRW,1995-01-06 18:07,1.08,0,0.88,-81.59,38.3794
GSP,1995-01-06 18:15,6.05,1,5.75,-82.2239,34.8847
FDY,1995-01-06 18:20,0.28,0,0.0,-83.6686,41.0136
GMU,1995-01-06 19:00,4.03,0,5.0,-82.3461,34.8461
BKW,1995-01-06 19:00,4.0,0,3.0,-81.1242,37.7873
CLE,1995-01-06 19:08,0.63,0,0.0,-81.8528,41.405
PKB,1995-01-06 19:21,1.92,0,1.65,-81.4392,39.3451
MFD,1995-01-06 20:00,0.57,0,2.0,-82.52,40.82
ZZV,1995-01-06 20:00,2.48,0,4.0,-81.8921,39.9444
CHO,1995-01-06 20:00,9.0,1,8.0,-78.4529,38.1386
LWB,1995-01-06 20:00,4.0,0,4.0,-80.3995,37.8583
INT,1995-01-06 20:00,4.67,0,5.0,-80.222,36.1337
ROA,1995-01-06 20:00,8.32,1,8.0,-79.9737,37.3172
CAK,1995-01-06 20:02,6.0,1,8.08,-81.4422,40.9161
MRB,1995-01-06 20:25,5.33,0,4.58,-77.9847,39.4019
IAD,1995-01-06 20:28,3.93,0,3.53,-77.4473,38.9348
LYH,1995-01-06 21:00,6.52,1,7.0,-79.2067,37.3208
DAN,1995-01-06 21:00,6.0,1,5.0,-79.3361,36.5729
GSO,1995-01-06 21:00,3.82,0,6.0,-79.9436,36.0975
PIT,1995-01-06 21:08,4.85,0,4.87,-80.2329,40.4915
HLG,1995-01-06 21:31,2.48,0,1.48,-80.6463,40.175
BVI,1995-01-06 22:00,1.0,0,0.0,-80.3914,40.7725
CLT,1995-01-06 22:00,1.47,0,4.0,-80.9543,35.2226
AHN,1995-01-06 22:01,1.15,0,0.98,-83.3264,33.9486
AGC,1995-01-06 22:16,1.37,0,1.1,-79.9217,40.3547
NYG,1995-01-06 22:25,3.17,0,2.58,-77.3053,38.5017
CXY,1995-01-06 23:00,5.0,0,4.0,-76.8515,40.2171
JST,1995-01-06 23:00,0.43,0,0.65,-78.8339,40.3161
YNG,1995-01-06 23:00,3.33,0,5.0,-80.6739,41.2544
DAA,1995-01-06 23:00,7.38,1,7.0,-77.181,38.715
DCA,1995-01-06 23:14,1.1,0,0.77,-77.0346,38.8472
MDT,1995-01-06 23:14,7.18,1,6.77,-76.7633,40.1936
ILG,1995-01-06 23:21,0.83,0,0.65,-75.6008,39.6728
PSB,1995-01-06 23:25,3.18,0,2.58,-78.0873,40.8844
UNV,1995-01-06 23:25,2.18,0,2.58,-77.85,40.85
LNS,1995-01-06 23:30,3.5,0,2.5,-76.2944,40.1203
BWI,1995-01-06 23:36,1.4,0,0.85,-76.6683,39.1754
MUI,1995-01-06 23:40,4.33,0,3.33,-76.5693,40.4348
HGR,1995-01-07 00:00,1.0,0,0.0,-77.7297,39.7078
RDG,1995-01-07 00:00,2.0,0,1.0,-75.9652,40.3785
ABE,1995-01-07 00:24,8.23,1,7.6,-75.4492,40.6508
ADW,1995-01-07 00:33,1.77,0,1.45,-76.867,38.8108
CDW,1995-01-07 00:57,2.05,0,1.05,-74.2831,40.8764
IPT,1995-01-07 01:59,3.53,0,4.02,-76.9217,41.2433
AOO,1995-01-07 02:18,3.7,0,2.7,-78.32,40.2964
AVP,1995-01-07 02:35,5.43,0,5.42,-75.7227,41.3335
HPN,1995-01-07 03:00,0.5,0,0.0,-73.7075,41.0669
MMU,1995-01-07 03:00,9.0,1,0.0,-74.4149,40.7994
POU,1995-01-07 03:00,1.52,0,1.0,-73.8842,41.6266
BDL,1995-01-07 04:00,0.12,0,0.0,-72.6825,41.9381
BGM,1995-01-07 05:00,0.58,0,3.0,-75.9797,42.2086
CON,1995-01-07 05:30,2.57,0,6.55,-71.5011,43.1953
ALB,1995-01-07 06:00,7.0,1,6.0,-73.8036,42.7576
PWM,1995-01-07 06:36,4.62,0,4.4,-70.3044,43.6424
AUG,1995-01-07 07:10,8.77,1,9.3,-69.8,44.32
NHZ,1995-01-07 08:00,1.0,0,0.0,-69.9386,43.8922
GFL,1995-01-07 08:00,5.92,0,6.0,-73.6103,43.3412
OLD,1995-01-07 10:05,6.92,1,5.92,-68.6743,44.9525
BGR,1995-01-07 10:05,6.92,1,5.92,-68.8281,44.8074
LEB,1995-01-07 11:00,3.0,0,2.0,-72.3042,43.6261
ITH,1995-01-07 11:00,0.33,0,0.0,-76.4584,42.49100000000001
SYR,1995-01-07 14:00,0.33,0,0.0,-76.1063,43.1112
