station,start_time,zr_hours,label,duration,lon,lat
CYPQ,2017-03-24 11:40,17.42,1,66.07,-78.3633,44.23
RYT,2017-03-24 12:46,0.7,0,0.12,-77.43,39.734
ITH,2017-03-24 14:55,0.3,0,0.25,-76.4584,42.49100000000001
MPO,2017-03-24 15:15,1.5,0,1.42,-75.3794,41.1389
ALB,2017-03-24 15:35,0.17,0,0.08,-73.8036,42.7576
PSF,2017-03-24 16:10,0.58,0,0.58,-73.2892,42.4272
GFL,2017-03-24 16:20,2.03,0,3.55,-73.6103,43.3412
VSF,2017-03-24 17:14,2.7,0,3.52,-72.5173,43.3436
AFN,2017-03-24 18:07,1.08,0,1.38,-72.003,42.8051
SLK,2017-03-24 18:10,1.25,0,1.18,-74.2062,44.3853
LEB,2017-03-24 19:30,1.7,0,4.58,-72.3042,43.6261
MPV,2017-03-24 20:50,3.77,0,6.67,-72.5623,44.2035
IZG,2017-03-24 23:35,0.97,0,1.25,-70.9479,43.9911
PBG,2017-03-25 01:10,0.08,0,0.0,-73.4624,44.6382
