station,start_time,zr_hours,label,duration,lon,lat
MLT,2021-12-16 11:02,1.67,0,2.63,-68.6856,45.6478
CYRJ,2021-12-16 12:29,2.7,0,2.52,-72.2656,48.52
CWSA,2021-12-16 12:58,5.62,0,6.4,-60.0094,43.9322
CYBG,2021-12-16 13:39,2.93,0,2.35,-70.9869,48.3339
CYMT,2021-12-16 14:04,0.48,0,0.0,-74.5281,49.7719
CYZX,2021-12-16 14:08,1.57,0,0.87,-64.91199999999999,44.9846
CYGL,2021-12-16 15:18,10.42,1,19.87,-77.7042,53.6253
CYGV,2021-12-16 15:34,1.8,0,12.02,-63.6114,50.2819
CYHZ,2021-12-16 16:09,0.15,0,0.0,-63.5086,44.8808
FVE,2021-12-16 16:10,2.58,0,5.0,-68.3127,47.2855
PQI,2021-12-16 16:20,2.08,0,2.0,-68.0448,46.68899999999999
CAR,2021-12-16 16:20,1.0,0,0.92,-68.02,46.87
CYMU,2021-12-16 16:53,17.7,1,3.12,-76.5182,56.5362
CYNA,2021-12-16 17:06,8.27,1,14.13,-61.7889,50.19
CYFC,2021-12-16 17:45,2.1,0,2.08,-66.5278,45.8722
CYAH,2021-12-16 17:53,1.03,0,2.67,-73.6753,53.7547
CYBC,2021-12-16 17:58,0.73,0,2.72,-68.2044,49.1325
CYGW,2021-12-16 19:20,0.28,0,0.15,-77.7653,55.2819
CYGP,2021-12-16 22:16,0.27,0,0.0,-64.4781,48.7769
CYZV,2021-12-16 22:50,0.97,0,0.17,-66.2656,50.2233
CYKL,2021-12-17 01:47,0.72,0,0.7,-66.8053,54.8053
