station,start_time,zr_hours,label,duration,lon,lat
RDR,2009-02-24 23:00,1.68,0,1.7,-97.4012,47.9611
GFK,2009-02-25 00:45,0.35,0,0.13,-97.1761,47.9492
JMS,2009-02-25 00:56,0.8,0,0.65,-98.68,46.93
FAR,2009-02-25 03:43,0.73,0,0.17,-96.8111,46.9253
HEI,2009-02-25 04:34,0.17,0,0.0,-102.656,46.0149
DLH,2009-02-25 08:33,0.7,0,0.67,-92.1936,46.8421
HYR,2009-02-25 09:22,0.88,0,0.52,-91.4442,46.0253
INL,2009-02-25 09:43,1.1,0,0.93,-93.3956,48.5595
ASX,2009-02-25 10:13,1.1,0,2.15,-90.9189,46.5487
RHI,2009-02-25 12:25,1.65,0,1.47,-89.4675,45.6312
MFI,2009-02-25 13:04,0.98,0,0.83,-90.1893,44.6369
AUW,2009-02-25 13:24,1.27,0,0.93,-89.6266,44.9262
IMT,2009-02-25 13:41,0.42,0,0.22,-88.1146,45.8184
