station,start_time,zr_hours,label,duration,lon,lat
DFI,2000-12-10 17:37,11.5,1,34.27,-84.4288,41.3375
AAO,2000-12-10 22:38,7.8,1,8.27,-97.22,37.75
DMO,2000-12-11 05:22,8.52,1,8.52,-93.1759,38.7074
UIN,2000-12-11 08:07,8.07,1,9.78,-91.1946,39.9428
GSH,2000-12-11 16:01,6.33,1,9.17,-85.7922,41.5272
ADG,2000-12-11 18:45,6.3,1,7.98,-84.0773,41.8677
SAT,2000-12-12 13:15,6.32,1,19.63,-98.4698,29.5337
AUS,2000-12-12 16:10,8.55,1,18.97,-97.6699,30.1945
GRK,2000-12-12 18:40,7.8,1,14.25,-97.83,31.07
FTW,2000-12-12 20:53,15.87,1,19.77,-97.3624,32.8198
MLC,2000-12-12 21:08,9.62,1,19.92,-95.7831,34.8822
AFW,2000-12-12 21:23,8.22,1,19.5,-97.3179,32.9716
DTO,2000-12-12 21:43,7.93,1,19.17,-97.2006,33.205
DFW,2000-12-12 21:46,14.67,1,18.12,-97.038,32.8968
DAL,2000-12-12 22:11,9.52,1,14.7,-96.8518,32.8471
TKI,2000-12-12 22:53,8.33,1,14.35,-96.59,33.18
ACT,2000-12-12 23:51,7.28,1,10.0,-97.2283,31.618000000000002
RBD,2000-12-12 23:53,10.95,1,18.2,-96.87,32.68
SKF,2000-12-12 23:55,6.5,1,9.0,-98.5811,29.3842
RND,2000-12-12 23:55,7.52,1,8.0,-98.28,29.53
GKY,2000-12-13 00:04,8.28,1,17.47,-97.0943,32.6639
CRS,2000-12-13 00:21,6.13,1,10.53,-96.4,32.03
HOT,2000-12-13 00:50,11.48,1,16.02,-93.0962,34.478
TRL,2000-12-13 01:04,9.47,1,12.82,-96.27,32.71
MKO,2000-12-13 02:17,8.95,1,11.95,-95.3614,35.6567
FSM,2000-12-13 02:36,18.45,1,19.28,-94.3674,35.3366
ADS,2000-12-13 02:47,11.0,1,14.0,-96.8364,32.9686
LZK,2000-12-13 04:50,16.0,1,17.0,-92.2594,34.835
LIT,2000-12-13 05:21,12.53,1,13.53,-92.2357,34.7273
SHV,2000-12-13 05:24,9.35,1,11.53,-93.8244,32.4472
SRC,2000-12-13 05:34,8.07,1,10.7,-91.74,35.21
JBR,2000-12-13 05:40,17.22,1,18.22,-90.6464,35.8317
PBF,2000-12-13 07:24,9.08,1,9.67,-91.9347,34.175
LRF,2000-12-13 07:30,12.42,1,12.42,-92.1465,34.9168
HOP,2000-12-13 08:45,8.5,1,16.17,-87.4962,36.6686
MEM,2000-12-13 09:05,8.78,1,12.9,-89.985,35.0611
BYH,2000-12-13 10:50,9.0,1,9.0,-89.9439,35.9643
HKA,2000-12-13 11:41,9.4,1,11.42,-89.83,35.94
PAH,2000-12-13 14:26,10.08,1,10.08,-88.7744,37.0563
CEY,2000-12-13 14:26,10.08,1,10.08,-88.3728,36.6646
CGI,2000-12-13 15:44,6.7,1,8.15,-89.5708,37.2253
MDH,2000-12-13 16:59,6.68,1,6.92,-89.25,37.78
GMU,2000-12-13 20:26,6.82,1,12.45,-82.3461,34.8461
HKY,2000-12-13 21:42,11.0,1,12.38,-81.3896,35.7412
LOU,2000-12-13 21:53,6.47,1,8.12,-85.6637,38.228
AVL,2000-12-13 21:54,10.27,1,11.85,-82.5375,35.4319
FFT,2000-12-13 22:00,6.03,1,6.53,-84.9033,38.1847
LUK,2000-12-13 22:29,13.17,1,14.4,-84.4186,39.1033
GSP,2000-12-13 22:55,8.3,1,10.87,-82.2239,34.8847
MGY,2000-12-13 23:22,6.28,1,6.52,-84.2249,39.589
CHO,2000-12-14 00:15,9.17,1,11.63,-78.4529,38.1386
GSO,2000-12-14 00:19,7.72,1,11.58,-79.9436,36.0975
CMH,2000-12-14 00:28,7.63,1,8.38,-82.8808,39.9914
OSU,2000-12-14 00:44,7.97,1,8.15,-83.08,40.08
ROA,2000-12-14 00:57,7.67,1,7.95,-79.9737,37.3172
IAD,2000-12-14 01:26,10.0,1,10.95,-77.4473,38.9348
ADW,2000-12-14 01:30,9.35,1,10.42,-76.867,38.8108
DAA,2000-12-14 01:33,7.18,1,11.43,-77.181,38.715
LYH,2000-12-14 01:45,6.92,1,7.68,-79.2067,37.3208
DCA,2000-12-14 02:16,8.62,1,9.12,-77.0346,38.8472
AOO,2000-12-14 02:30,7.38,1,7.38,-78.32,40.2964
CAK,2000-12-14 02:51,6.43,1,9.0,-81.4422,40.9161
MDT,2000-12-14 03:48,6.2,1,7.13,-76.7633,40.1936
DXR,2000-12-14 06:44,7.0,1,7.37,-73.48,41.37
MMK,2000-12-14 07:56,6.08,1,7.25,-72.83,41.51
