station,start_time,zr_hours,label,duration,lon,lat
CEU,2010-12-16 05:54,1.08,0,9.45,-82.8868,34.6719
CLT,2010-12-16 06:10,3.22,0,6.7,-80.9543,35.2226
TRI,2010-12-16 06:51,7.13,1,8.23,-82.4074,36.4752
EQY,2010-12-16 07:02,0.77,0,0.0,-80.6206,35.0169
JKL,2010-12-16 07:38,7.3,1,21.68,-83.3144,37.5914
HFF,2010-12-16 09:52,0.4,0,0.05,-79.4974,35.0367
INT,2010-12-16 10:43,3.18,0,2.18,-80.222,36.1337
GSO,2010-12-16 11:17,4.12,0,3.62,-79.9436,36.0975
BUY,2010-12-16 11:37,3.95,0,3.47,-79.4749,36.0485
RDU,2010-12-16 11:51,4.37,0,4.0,-78.7819,35.8922
AKH,2010-12-16 11:54,0.58,0,0.25,-81.1558,35.1967
IGX,2010-12-16 11:56,6.67,1,6.0,-79.0642,35.9333
FBG,2010-12-16 12:03,0.27,0,0.07,-78.9367,35.1318
GSB,2010-12-16 12:25,4.1,0,3.5,-77.9606,35.3394
UZA,2010-12-16 12:40,0.63,0,0.23,-81.0572,34.9878
DAN,2010-12-16 13:00,5.93,0,10.73,-79.3361,36.5729
POB,2010-12-16 13:49,0.32,0,0.1,-79.0145,35.1709
RWI,2010-12-16 14:13,3.17,0,3.9,-77.8919,35.8562
GSP,2010-12-16 15:01,0.78,0,0.45,-82.2239,34.8847
BLF,2010-12-16 15:42,0.82,0,0.55,-81.2077,37.2958
AUB,2010-12-16 16:25,1.92,0,3.75,-85.5,32.6
HTS,2010-12-16 17:44,0.25,0,0.12,-82.555,38.365
AKQ,2010-12-16 17:54,1.82,0,3.27,-77.0072,36.9839
FAF,2010-12-16 18:21,3.57,0,2.57,-76.6088,37.1325
NGU,2010-12-16 18:42,1.18,0,0.28,-76.2893,36.9375
LFI,2010-12-16 19:03,4.63,0,4.87,-76.3605,37.0828
PHF,2010-12-16 19:10,2.73,0,2.32,-76.493,37.1319
RIC,2010-12-16 19:54,4.0,0,3.0,-77.3234,37.5115
ROA,2010-12-16 20:54,0.68,0,0.13,-79.9737,37.3172
