station,start_time,zr_hours,label,duration,lon,lat
MIW,2018-03-24 05:25,5.9,0,8.42,-92.9163,42.1106
EST,2018-03-24 06:40,0.92,0,1.08,-94.7476,43.4008
OTM,2018-03-24 07:25,2.8,0,3.33,-92.4446,41.1008
SPW,2018-03-24 07:35,0.67,0,0.58,-95.2101,43.1682
DSM,2018-03-24 08:25,1.33,0,1.25,-93.6531,41.534
AMW,2018-03-24 08:25,2.33,0,2.25,-93.6185,41.9904
CID,2018-03-24 09:34,0.85,0,0.77,-91.7246,41.8829
PIA,2018-03-24 09:42,0.47,0,0.38,-89.6839,40.6675
IOW,2018-03-24 09:50,1.87,0,2.0,-91.5445,41.6394
MLI,2018-03-24 10:15,1.17,0,1.08,-90.5075,41.4485
DVN,2018-03-24 10:38,0.78,0,0.73,-90.5948,41.6133
JKL,2018-03-24 13:45,0.75,0,0.67,-83.3144,37.5914
CMI,2018-03-24 16:35,0.8,0,6.75,-88.2778,40.0388
BAK,2018-03-24 18:45,6.17,1,5.0,-85.8963,39.2619
BRL,2018-03-24 19:15,1.42,0,1.33,-91.1255,40.7729
DEC,2018-03-24 22:25,0.25,0,0.17,-88.8657,39.8346
SPI,2018-03-24 23:28,3.12,0,3.03,-89.6839,39.8447
HUF,2018-03-24 23:40,0.33,0,0.25,-87.3076,39.4515
