station,start_time,zr_hours,label,duration,lon,lat
CEY,1993-12-28 02:02,9.02,1,9.97,-88.3728,36.6646
PAH,1993-12-28 02:02,9.02,1,9.97,-88.7744,37.0563
FTK,1993-12-28 02:12,3.8,0,9.18,-85.9721,37.9071
OWB,1993-12-28 02:30,2.38,0,9.75,-87.1668,37.7388
EVV,1993-12-28 03:00,5.37,0,9.0,-87.5205,38.0441
SDF,1993-12-28 03:02,5.6,0,5.38,-85.736,38.1744
LEX,1993-12-28 03:14,3.37,0,2.77,-84.6058,38.0408
LOU,1993-12-28 03:19,5.18,0,4.68,-85.6637,38.228
HTS,1993-12-28 06:33,0.57,0,0.45,-82.555,38.365
JKL,1993-12-28 06:35,4.78,0,8.78,-83.3144,37.5914
CRW,1993-12-28 07:00,1.0,0,0.42,-81.59,38.3794
HOP,1993-12-28 10:33,11.45,1,10.45,-87.4962,36.6686
BWG,1993-12-28 11:00,12.22,1,15.0,-86.4197,36.9645
JBR,1993-12-28 12:00,3.3,0,6.43,-90.6464,35.8317
BKW,1993-12-28 13:12,1.63,0,16.93,-81.1242,37.7873
LOZ,1993-12-28 17:10,2.83,0,1.83,-84.07700000000001,37.086999999999996
