station,start_time,zr_hours,label,duration,lon,lat
ILN,2000-02-18 02:31,5.05,0,5.53,-83.8217,39.4203
CMH,2000-02-18 03:51,4.4,0,5.0,-82.8808,39.9914
BKW,2000-02-18 05:18,4.72,0,5.55,-81.1242,37.7873
MIE,2000-02-18 05:20,5.02,0,21.92,-85.3958,40.2425
LHQ,2000-02-18 05:21,4.08,0,4.53,-82.6571,39.7556
MNN,2000-02-18 05:46,5.62,0,25.12,-83.0635,40.6162
MGY,2000-02-18 05:53,0.85,0,1.0,-84.2249,39.589
AOH,2000-02-18 05:53,6.35,1,24.0,-84.0267,40.7069
ZZV,2000-02-18 06:18,1.53,0,3.12,-81.8921,39.9444
OSU,2000-02-18 06:30,9.4,1,9.55,-83.08,40.08
FFO,2000-02-18 06:44,1.65,0,1.22,-84.0483,39.8261
FWA,2000-02-18 07:26,10.0,1,19.63,-85.1871,40.978
VTA,2000-02-18 07:40,1.95,0,2.23,-82.4618,40.0247
LYH,2000-02-18 07:41,4.1,0,6.47,-79.2067,37.3208
ROA,2000-02-18 08:06,6.22,1,6.43,-79.9737,37.3172
EKN,2000-02-18 08:10,1.9,0,1.68,-79.8528,38.8853
FDY,2000-02-18 08:50,5.15,0,19.32,-83.6686,41.0136
CHO,2000-02-18 08:53,7.23,1,7.0,-78.4529,38.1386
MFD,2000-02-18 08:56,8.82,1,22.1,-82.52,40.82
HLG,2000-02-18 09:12,7.55,1,7.68,-80.6463,40.175
OFP,2000-02-18 09:32,1.93,0,1.82,-77.4366,37.7089
DAN,2000-02-18 09:49,2.43,0,2.0,-79.3361,36.5729
DCA,2000-02-18 10:44,2.22,0,3.12,-77.0346,38.8472
ADW,2000-02-18 10:55,1.43,0,3.12,-76.867,38.8108
MRB,2000-02-18 11:00,4.12,0,3.83,-77.9847,39.4019
DAA,2000-02-18 11:07,0.92,0,0.8,-77.181,38.715
IAD,2000-02-18 11:11,6.3,1,7.48,-77.4473,38.9348
PHD,2000-02-18 11:22,2.27,0,1.72,-81.4236,40.4719
LWB,2000-02-18 11:50,1.0,0,0.0,-80.3995,37.8583
GUS,2000-02-18 12:30,3.58,0,2.42,-86.1521,40.6481
AGC,2000-02-18 12:33,2.12,0,2.33,-79.9217,40.3547
BWI,2000-02-18 12:54,3.38,0,4.0,-76.6683,39.1754
BJJ,2000-02-18 13:05,4.98,0,18.38,-81.8882,40.8748
CAK,2000-02-18 13:32,4.95,0,17.0,-81.4422,40.9161
PIT,2000-02-18 14:38,3.55,0,3.22,-80.2329,40.4915
BVI,2000-02-18 14:45,1.03,0,0.0,-80.3914,40.7725
MTN,2000-02-18 15:45,2.0,0,1.0,-76.4138,39.3257
YNG,2000-02-18 16:01,5.3,0,12.37,-80.6739,41.2544
AOO,2000-02-18 16:32,3.72,0,10.72,-78.32,40.2964
HGR,2000-02-18 18:03,2.25,0,1.83,-77.7297,39.7078
JST,2000-02-18 18:34,2.95,0,2.22,-78.8339,40.3161
GKJ,2000-02-18 18:40,3.68,0,13.78,-80.2147,41.6265
CLE,2000-02-18 18:54,0.2,0,0.0,-81.8528,41.405
TDZ,2000-02-18 21:32,0.77,0,0.35,-83.4764,41.5631
