station,start_time,zr_hours,label,duration,lon,lat
JFK,1980-03-14 02:00,2.0,0,1.0,-73.7622,40.6386
LNS,1980-03-14 02:00,10.0,1,2.0,-76.2944,40.1203
ABE,1980-03-14 03:00,7.0,1,7.0,-75.4492,40.6508
IPT,1980-03-14 03:00,3.37,0,3.0,-76.9217,41.2433
AOO,1980-03-14 03:00,2.27,0,4.0,-78.32,40.2964
EWR,1980-03-14 03:28,0.53,0,0.0,-74.1693,40.6827
AVP,1980-03-14 03:37,3.63,0,4.38,-75.7227,41.3335
ISP,1980-03-14 04:00,1.0,0,0.0,-73.1017,40.7939
ELM,1980-03-14 05:00,1.0,0,0.0,-76.8994,42.1571
LGA,1980-03-14 05:00,0.57,0,0.0,-73.8803,40.7794
