station,start_time,zr_hours,label,duration,lon,lat
DMO,2019-02-05 20:37,12.08,1,41.47,-93.1759,38.7074
DVN,2019-02-05 21:00,6.18,1,45.92,-90.5948,41.6133
RFD,2019-02-05 22:30,10.45,1,37.75,-89.09299999999999,42.1927
SZL,2019-02-05 22:56,8.02,1,38.0,-93.54799999999999,38.7303
UIN,2019-02-05 23:40,7.28,1,42.25,-91.1946,39.9428
UGN,2019-02-06 00:11,6.6,1,27.98,-87.8679,42.4222
FLD,2019-02-06 05:15,6.6,1,38.92,-88.4884,43.7712
LAN,2019-02-06 05:40,6.65,1,33.5,-84.58,42.78
DTW,2019-02-06 06:10,6.58,1,8.25,-83.33,42.23
FNT,2019-02-06 06:45,10.73,1,33.58,-83.7494,42.9667
COU,2019-02-06 08:25,8.0,1,31.33,-92.2183,38.8169
CYXU,2019-02-06 09:09,9.42,1,9.85,-81.1539,43.0356
Y50,2019-02-06 09:30,6.7,1,30.08,-89.3045,44.0416
CYHM,2019-02-06 10:47,10.22,1,9.22,-79.934,43.172
CYYZ,2019-02-06 11:31,6.97,1,34.48,-79.6306,43.6772
CYSN,2019-02-06 12:00,10.53,1,11.0,-79.1717,43.1917
