station,start_time,zr_hours,label,duration,lon,lat
BMG,1995-01-27 19:00,3.0,0,20.0,-86.6167,39.146
GUS,1995-01-27 20:00,3.63,0,8.0,-86.1521,40.6481
LAF,1995-01-27 23:00,3.0,0,2.0,-86.9333,40.4148
CMH,1995-01-27 23:12,2.45,0,2.22,-82.8808,39.9914
OSU,1995-01-28 00:00,2.0,0,1.0,-83.08,40.08
HTS,1995-01-28 01:04,8.8,1,15.95,-82.555,38.365
CRW,1995-01-28 02:37,7.92,1,34.58,-81.59,38.3794
CVG,1995-01-28 06:34,9.12,1,8.43,-84.6717,39.0431
IND,1995-01-28 08:00,3.2,0,7.0,-86.3048,39.7084
LUK,1995-01-28 08:00,5.0,0,7.0,-84.4186,39.1033
IRK,1995-01-28 12:00,6.0,1,5.0,-92.5433,40.0972
LWB,1995-01-28 13:00,2.0,0,1.0,-80.3995,37.8583
HUF,1995-01-28 14:00,3.0,0,2.0,-87.3076,39.4515
FOE,1995-01-28 15:00,2.0,0,8.0,-95.6636,38.9509
VIH,1995-01-28 23:00,6.0,1,5.0,-91.77,38.13
JEF,1995-01-28 23:00,1.0,0,0.0,-92.1561,38.5912
