station,start_time,zr_hours,label,duration,lon,lat
PNE,1989-03-06 15:00,3.0,0,3.0,-75.0134,40.0789
MRB,1989-03-06 15:25,0.58,0,0.0,-77.9847,39.4019
ILG,1989-03-06 16:00,1.47,0,1.0,-75.6008,39.6728
FME,1989-03-06 16:11,17.6,1,4.82,-76.7594,39.0854
WRI,1989-03-06 16:25,0.32,0,0.0,-74.5917,40.0156
APG,1989-03-06 17:10,6.83,1,5.83,-76.1688,39.4662
MTN,1989-03-06 18:00,3.8,0,3.0,-76.4138,39.3257
BWI,1989-03-06 18:34,2.95,0,7.43,-76.6683,39.1754
IAD,1989-03-06 19:12,3.83,0,9.8,-77.4473,38.9348
DOV,1989-03-06 19:30,5.03,0,6.5,-75.46600000000001,39.1295
ADW,1989-03-06 19:42,0.97,0,3.78,-76.867,38.8108
MIV,1989-03-06 20:00,1.0,0,0.0,-75.0783,39.3661
ACY,1989-03-06 20:01,1.98,0,0.98,-74.5772,39.4576
DCA,1989-03-06 20:08,2.78,0,4.13,-77.0346,38.8472
