station,start_time,end_time,zr_hours,label,duration
LIC,1985-10-09 03:00,1985-10-09 03:00,3.0,0,0.0
MWN,1985-11-05 14:00,1985-11-05 18:00,6.0,1,4.0
OFK,1985-11-09 01:00,1985-11-09 01:00,0.35,0,0.0
ALO,1985-11-09 14:00,1985-11-09 16:00,2.17,0,2.0
BIE,1985-11-09 20:00,1985-11-09 21:00,2.0,0,1.0
DSM,1985-11-09 21:00,1985-11-09 21:00,0.65,0,0.0
DBQ,1985-11-09 23:00,1985-11-10 04:00,10.0,1,5.0
COS,1985-11-10 07:00,1985-11-10 07:00,1.0,0,0.0
LWD,1985-11-10 14:00,1985-11-10 14:00,1.0,0,0.0
SLK,1985-11-11 00:00,1985-11-11 02:00,11.0,1,2.0
FRM,1985-11-11 14:30,1985-11-11 16:00,2.5,0,1.5
OTG,1985-11-11 16:00,1985-11-11 16:00,1.0,0,0.0
PBG,1985-11-12 06:00,1985-11-12 06:00,1.0,0,0.0
EAU,1985-11-12 09:00,1985-11-12 09:00,1.0,0,0.0
ALB,1985-11-12 10:00,1985-11-12 10:00,1.0,0,0.0
SLK,1985-11-12 13:00,1985-11-12 14:00,3.0,0,1.0
ORH,1985-11-12 13:00,1985-11-12 17:30,5.0,0,4.5
PSM,1985-11-12 14:00,1985-11-12 14:00,1.0,0,0.0
MPV,1985-11-12 15:00,1985-11-12 15:00,1.0,0,0.0
CON,1985-11-12 15:00,1985-11-12 15:00,0.42,0,0.0
PWM,1985-11-12 15:06,1985-11-12 23:00,8.35,1,7.9
NHZ,1985-11-12 15:26,1985-11-12 19:00,4.57,0,3.57
AUG,1985-11-12 17:00,1985-11-13 04:00,11.5,1,11.0
MWN,1985-11-12 18:00,1985-11-14 00:00,11.0,1,30.0
HUL,1985-11-13 00:00,1985-11-13 01:00,2.0,0,1.0
ONL,1985-11-13 00:00,1985-11-13 16:00,15.0,1,16.0
DDC,1985-11-14 12:00,1985-11-14 23:00,2.73,0,11.0
GCK,1985-11-14 12:00,1985-11-14 13:00,1.4,0,1.0
TAD,1985-11-14 12:12,1985-11-14 12:12,0.8,0,0.0
OGS,1985-11-14 19:00,1985-11-14 19:00,3.0,0,0.0
MSS,1985-11-14 20:00,1985-11-14 20:00,1.0,0,0.0
OFK,1985-11-15 09:00,1985-11-15 13:00,0.47,0,4.0
LWD,1985-11-15 12:00,1985-11-15 12:00,1.0,0,0.0
OLU,1985-11-15 15:00,1985-11-15 15:00,1.0,0,0.0
FRM,1985-11-15 20:30,1985-11-15 21:00,4.5,0,0.5
RST,1985-11-16 03:00,1985-11-16 05:00,2.58,0,2.0
PSB,1985-11-16 03:49,1985-11-16 13:00,2.18,0,9.18
UNV,1985-11-16 03:49,1985-11-16 13:00,2.18,0,9.18
EAU,1985-11-16 06:00,1985-11-16 07:00,1.38,0,1.0
BFD,1985-11-16 08:00,1985-11-16 16:00,8.1,1,8.0
IPT,1985-11-16 09:20,1985-11-16 13:00,3.08,0,3.67
AVP,1985-11-16 11:34,1985-11-16 16:00,5.43,0,4.43
ELM,1985-11-16 13:00,1985-11-16 16:00,3.5,0,3.0
HTL,1985-11-16 13:00,1985-11-16 13:00,0.33,0,0.0
ABE,1985-11-16 13:38,1985-11-16 18:00,2.83,0,4.37
IAG,1985-11-16 14:00,1985-11-16 16:00,3.0,0,2.0
BUF,1985-11-16 14:00,1985-11-16 15:00,1.93,0,1.0
BGM,1985-11-16 15:00,1985-11-16 21:00,4.68,0,6.0
ITH,1985-11-16 16:00,1985-11-16 18:00,3.0,0,2.0
TEB,1985-11-16 16:00,1985-11-16 16:00,0.22,0,0.0
SYR,1985-11-16 17:00,1985-11-16 23:00,5.0,0,6.0
