station,start_time,end_time,zr_hours,label,duration
PUB,1997-10-26 12:54,1997-10-26 12:54,0.0,0,0.0
FAR,1997-11-02 13:53,1997-11-02 13:53,0.0,0,0.0
BMG,1997-11-02 17:52,1997-11-02 17:52,0.0,0,0.0
BIS,1997-11-04 10:55,1997-11-04 14:55,4.0,0,4.0
EKN,1997-11-04 12:51,1997-11-04 12:51,0.0,0,0.0
ABR,1997-11-04 15:42,1997-11-04 17:56,1.23,0,2.23
VTN,1997-11-08 22:52,1997-11-09 02:52,3.0,0,4.0
SNY,1997-11-09 05:53,1997-11-09 06:53,1.0,0,1.0
SYF,1997-11-09 05:56,1997-11-09 10:56,4.0,0,5.0
GLD,1997-11-09 05:56,1997-11-09 10:56,4.0,0,5.0
CBK,1997-11-09 05:56,1997-11-09 10:56,4.0,0,5.0
ITR,1997-11-09 06:02,1997-11-09 10:53,2.37,0,4.85
AKO,1997-11-09 07:00,1997-11-09 07:00,0.0,0,0.0
STK,1997-11-09 07:00,1997-11-09 07:00,0.0,0,0.0
LHX,1997-11-12 03:57,1997-11-12 05:38,1.68,0,1.68
ITR,1997-11-12 07:27,1997-11-12 07:40,0.22,0,0.22
CSM,1997-11-12 09:53,1997-11-12 09:53,0.0,0,0.0
GLD,1997-11-12 15:56,1997-11-13 01:56,6.0,1,10.0
SYF,1997-11-12 15:56,1997-11-13 01:56,6.0,1,10.0
CBK,1997-11-12 15:56,1997-11-13 01:56,6.0,1,10.0
NRN,1997-11-12 18:53,1997-11-12 21:53,1.0,0,3.0
HLC,1997-11-12 18:53,1997-11-12 21:53,1.0,0,3.0
PHG,1997-11-12 18:53,1997-11-12 21:53,1.0,0,3.0
GCK,1997-11-12 21:54,1997-11-12 21:54,0.0,0,0.0
BWG,1997-11-12 23:33,1997-11-13 00:45,0.12,0,1.2
CSM,1997-11-13 12:22,1997-11-13 12:22,0.0,0,0.0
BAK,1997-11-13 21:50,1997-11-14 00:50,0.98,0,3.0
JST,1997-11-13 21:50,1997-11-15 07:47,8.43,1,33.95
EST,1997-11-13 21:52,1997-11-14 02:52,5.0,0,5.0
LWB,1997-11-13 22:46,1997-11-13 22:46,0.0,0,0.0
AID,1997-11-13 22:50,1997-11-13 23:45,0.92,0,0.92
AOO,1997-11-13 22:50,1997-11-14 19:25,4.0,0,20.58
DAY,1997-11-13 23:17,1997-11-14 08:51,6.73,1,9.57
PIT,1997-11-13 23:28,1997-11-14 06:51,6.62,1,7.38
AGC,1997-11-13 23:36,1997-11-14 05:50,2.28,0,6.23
BMG,1997-11-13 23:45,1997-11-13 23:45,0.0,0,0.0
MGY,1997-11-13 23:53,1997-11-14 01:53,2.0,0,2.0
HLG,1997-11-14 00:45,1997-11-14 00:45,0.0,0,0.0
UNV,1997-11-14 00:49,1997-11-14 16:48,6.22,1,15.98
PSB,1997-11-14 00:49,1997-11-14 16:48,6.22,1,15.98
BVI,1997-11-14 00:50,1997-11-14 01:45,0.92,0,0.92
BJJ,1997-11-14 01:42,1997-11-14 04:53,3.18,0,3.18
MRB,1997-11-14 01:50,1997-11-14 05:50,4.0,0,4.0
CAK,1997-11-14 01:51,1997-11-14 10:51,7.82,1,9.0
MFD,1997-11-14 01:54,1997-11-14 06:54,5.0,0,5.0
FFO,1997-11-14 01:55,1997-11-14 02:34,0.65,0,0.65
YNG,1997-11-14 02:51,1997-11-14 13:51,6.0,1,11.0
GKJ,1997-11-14 02:53,1997-11-14 14:01,2.5,0,11.13
BFD,1997-11-14 02:53,1997-11-14 18:21,4.45,0,15.47
IPT,1997-11-14 03:41,1997-11-14 13:10,1.55,0,9.48
CLE,1997-11-14 03:56,1997-11-14 05:29,0.67,0,1.55
IND,1997-11-14 03:56,1997-11-14 04:56,1.0,0,1.0
BKL,1997-11-14 04:28,1997-11-14 04:28,0.0,0,0.0
RDG,1997-11-14 04:50,1997-11-14 04:50,0.0,0,0.0
AVP,1997-11-14 05:09,1997-11-14 21:54,5.07,0,16.75
ABE,1997-11-14 05:51,1997-11-14 23:51,15.05,1,18.0
BDR,1997-11-14 06:03,1997-11-14 21:19,8.15,1,15.27
HPN,1997-11-14 06:50,1997-11-14 10:45,3.92,0,3.92
TEB,1997-11-14 07:21,1997-11-14 08:56,1.58,0,1.58
PVD,1997-11-14 07:51,1997-11-15 02:21,12.92,1,18.5
TAN,1997-11-14 07:52,1997-11-14 07:52,0.0,0,0.0
MCI,1997-11-14 07:53,1997-11-14 07:53,0.0,0,0.0
FLV,1997-11-14 07:53,1997-11-14 07:53,0.0,0,0.0
IJD,1997-11-14 08:01,1997-11-15 01:52,8.22,1,17.85
EWR,1997-11-14 08:34,1997-11-14 08:51,0.28,0,0.28
HFD,1997-11-14 09:11,1997-11-14 23:19,4.47,0,14.13
BDL,1997-11-14 09:51,1997-11-14 22:51,2.85,0,13.0
ORH,1997-11-14 09:54,1997-11-14 11:54,2.0,0,2.0
FIT,1997-11-14 10:31,1997-11-14 10:52,0.35,0,0.35
HVN,1997-11-14 10:47,1997-11-14 16:45,5.3,0,5.97
ELM,1997-11-14 10:47,1997-11-14 18:50,6.05,1,8.05
OWD,1997-11-14 11:45,1997-11-14 22:45,1.0,0,11.0
BGM,1997-11-14 11:56,1997-11-14 12:56,1.0,0,1.0
BED,1997-11-14 12:45,1997-11-14 12:45,0.0,0,0.0
DXR,1997-11-14 12:45,1997-11-15 01:45,5.62,0,13.0
MUI,1997-11-14 12:55,1997-11-14 16:09,3.23,0,3.23
DUJ,1997-11-14 13:11,1997-11-14 14:30,0.47,0,1.32
HGR,1997-11-14 13:45,1997-11-14 14:45,1.0,0,1.0
ERI,1997-11-14 13:59,1997-11-14 16:46,2.78,0,2.78
SWF,1997-11-14 16:45,1997-11-14 22:50,6.08,1,6.08
MHT,1997-11-14 18:17,1997-11-14 19:53,0.88,0,1.6
ITH,1997-11-14 18:50,1997-11-14 18:50,0.0,0,0.0
POU,1997-11-14 20:51,1997-11-14 23:45,1.98,0,2.9
BAF,1997-11-14 22:45,1997-11-14 22:45,0.0,0,0.0
BKW,1997-11-15 02:58,1997-11-15 02:58,0.0,0,0.0
UUU,1997-11-15 03:00,1997-11-15 03:15,0.25,0,0.25
INK,1997-11-15 05:52,1997-11-15 07:53,2.02,0,2.02
FST,1997-11-15 06:53,1997-11-15 13:53,1.0,0,7.0
SJT,1997-11-15 07:56,1997-11-15 09:56,1.0,0,2.0
EKN,1997-11-15 08:19,1997-11-15 08:19,0.0,0,0.0
AUS,1997-11-15 10:53,1997-11-15 10:53,0.0,0,0.0
JCT,1997-11-15 10:53,1997-11-15 11:53,1.0,0,1.0
CVG,1997-11-16 03:40,1997-11-16 03:54,0.23,0,0.23
LUK,1997-11-16 06:53,1997-11-16 06:53,0.0,0,0.0
CAK,1997-11-16 09:26,1997-11-16 09:39,0.22,0,0.22
EST,1997-11-20 10:52,1997-11-20 10:52,0.0,0,0.0
FLD,1997-11-20 19:53,1997-11-20 19:53,0.0,0,0.0
DIK,1997-11-21 08:51,1997-11-21 08:51,0.0,0,0.0
BML,1997-11-21 13:13,1997-11-21 13:52,0.65,0,0.65
PIR,1997-11-21 14:05,1997-11-21 15:50,1.63,0,1.75
HON,1997-11-21 17:24,1997-11-21 22:55,3.38,0,5.52
ATY,1997-11-21 19:53,1997-11-21 20:53,0.55,0,1.0
FSD,1997-11-21 20:56,1997-11-22 03:03,0.43,0,6.12
EST,1997-11-22 00:52,1997-11-22 00:52,0.0,0,0.0
ABR,1997-11-22 00:56,1997-11-22 01:49,0.88,0,0.88
ORH,1997-11-22 14:54,1997-11-23 19:54,3.0,0,29.0
MFI,1997-11-22 16:54,1997-11-22 17:54,1.0,0,1.0
ISW,1997-11-22 19:54,1997-11-22 19:54,0.0,0,0.0
FIT,1997-11-23 06:04,1997-11-23 06:14,0.17,0,0.17
BDL,1997-11-23 09:32,1997-11-23 09:51,0.32,0,0.32
BOS,1997-11-23 09:56,1997-11-23 23:56,4.0,0,14.0
MSS,1997-11-23 18:50,1997-11-23 20:50,2.0,0,2.0
PWM,1997-11-24 00:14,1997-11-24 00:54,0.67,0,0.67
IWI,1997-11-24 00:22,1997-11-24 02:53,2.13,0,2.52
OLD,1997-11-24 06:00,1997-11-24 06:00,0.0,0,0.0
BGR,1997-11-24 06:00,1997-11-24 06:00,0.0,0,0.0
FDY,1997-11-25 09:50,1997-11-25 09:50,0.0,0,0.0
TOL,1997-11-25 09:51,1997-11-25 09:51,0.0,0,0.0
MTC,1997-11-25 10:40,1997-11-25 10:40,0.0,0,0.0
DET,1997-11-25 10:45,1997-11-25 10:45,0.0,0,0.0
CLE,1997-11-25 11:54,1997-11-25 11:54,0.0,0,0.0
CMH,1997-11-25 12:27,1997-11-25 12:27,0.0,0,0.0
CAK,1997-11-25 12:33,1997-11-25 12:51,0.3,0,0.3
YNG,1997-11-25 12:51,1997-11-25 13:51,1.0,0,1.0
GTB,1997-11-28 12:04,1997-11-28 12:04,0.0,0,0.0
RME,1997-11-28 13:55,1997-11-28 17:12,1.0,0,3.28
UCA,1997-11-28 13:55,1997-11-28 17:12,1.0,0,3.28
CYOW,1997-11-28 15:46,1997-11-28 20:00,3.1,0,4.23
MSS,1997-11-28 15:50,1997-11-28 15:50,0.0,0,0.0
ORH,1997-11-28 20:54,1997-11-28 20:54,0.0,0,0.0
AFN,1997-11-28 21:05,1997-11-28 21:05,0.0,0,0.0
ART,1997-11-30 13:50,1997-11-30 14:48,0.97,0,0.97
SCH,1997-11-30 14:45,1997-11-30 16:45,1.0,0,2.0
GTB,1997-11-30 14:55,1997-11-30 15:55,1.0,0,1.0
CEF,1997-11-30 15:16,1997-11-30 15:16,0.0,0,0.0
BAF,1997-11-30 15:45,1997-11-30 17:45,2.0,0,2.0
VSF,1997-11-30 19:54,1997-11-30 23:54,2.0,0,4.0
ALB,1997-11-30 20:56,1997-11-30 20:56,0.0,0,0.0
AFN,1997-11-30 22:11,1997-12-01 06:52,0.53,0,8.68
LEB,1997-12-01 00:45,1997-12-01 00:45,0.0,0,0.0
BFD,1997-12-01 03:00,1997-12-01 03:00,0.0,0,0.0
MVL,1997-12-01 08:54,1997-12-01 08:54,0.0,0,0.0
HIE,1997-12-01 10:09,1997-12-01 10:09,0.0,0,0.0
BTV,1997-12-01 10:54,1997-12-01 10:54,0.0,0,0.0
OIN,1997-12-02 04:53,1997-12-02 04:53,0.0,0,0.0
MCK,1997-12-02 04:53,1997-12-02 04:53,0.0,0,0.0
LNK,1997-12-02 05:03,1997-12-02 05:03,0.0,0,0.0
BDE,1997-12-03 03:53,1997-12-03 03:53,0.0,0,0.0
FNT,1997-12-03 12:54,1997-12-03 12:54,0.0,0,0.0
GFL,1997-12-04 06:50,1997-12-04 10:50,4.0,0,4.0
CYOW,1997-12-04 08:17,1997-12-04 16:00,3.93,0,7.72
MSS,1997-12-04 08:50,1997-12-04 13:50,3.0,0,5.0
BTV,1997-12-04 08:54,1997-12-04 10:54,2.0,0,2.0
LEB,1997-12-04 10:55,1997-12-04 10:55,0.0,0,0.0
HIE,1997-12-05 01:52,1997-12-05 04:16,2.4,0,2.4
BFD,1997-12-05 04:04,1997-12-05 04:04,0.0,0,0.0
BDE,1997-12-05 18:53,1997-12-05 20:53,2.0,0,2.0
SBN,1997-12-06 12:54,1997-12-06 21:54,1.0,0,9.0
