station,start_time,end_time,zr_hours,label,duration
OLD,1981-12-02 05:00,1981-12-02 06:00,1.0,0,1.0
BGR,1981-12-02 05:00,1981-12-02 06:00,1.0,0,1.0
CAR,1981-12-02 08:38,1981-12-02 10:00,1.37,0,1.37
HUL,1981-12-02 09:00,1981-12-02 09:00,0.0,0,0.0
RHI,1981-12-05 04:00,1981-12-05 04:00,0.0,0,0.0
BID,1981-12-05 17:30,1981-12-05 18:00,0.5,0,0.5
MVY,1981-12-05 19:00,1981-12-05 22:00,3.0,0,3.0
HUL,1981-12-06 07:00,1981-12-06 11:00,4.0,0,4.0
CAR,1981-12-06 11:19,1981-12-06 12:00,0.68,0,0.68
NHZ,1981-12-07 03:00,1981-12-07 08:00,2.0,0,5.0
AUG,1981-12-07 05:00,1981-12-07 05:00,0.0,0,0.0
PWM,1981-12-07 07:00,1981-12-07 07:00,0.0,0,0.0
DLH,1981-12-07 12:00,1981-12-07 12:00,0.0,0,0.0
ACB,1981-12-07 22:00,1981-12-07 23:00,1.0,0,1.0
JMS,1981-12-11 17:00,1981-12-11 18:00,1.0,0,1.0
GFK,1981-12-11 21:00,1981-12-11 21:00,0.0,0,0.0
CLE,1981-12-12 02:27,1981-12-12 02:27,0.0,0,0.0
GRI,1981-12-12 10:00,1981-12-12 10:00,0.0,0,0.0
ROA,1981-12-14 09:00,1981-12-14 14:37,3.62,0,5.62
CRW,1981-12-14 11:00,1981-12-14 15:00,3.0,0,4.0
SHD,1981-12-14 11:40,1981-12-14 11:40,0.0,0,0.0
LWB,1981-12-14 12:00,1981-12-14 12:00,0.0,0,0.0
HTS,1981-12-14 12:00,1981-12-14 16:00,4.0,0,4.0
BKW,1981-12-14 12:00,1981-12-14 12:00,0.0,0,0.0
LYH,1981-12-14 12:28,1981-12-15 01:00,4.78,0,12.53
EKN,1981-12-14 13:00,1981-12-14 17:00,4.0,0,4.0
JKL,1981-12-14 14:00,1981-12-14 14:00,0.0,0,0.0
IAD,1981-12-14 15:00,1981-12-14 17:00,2.0,0,2.0
MRB,1981-12-14 17:00,1981-12-15 02:00,8.0,1,9.0
ABE,1981-12-14 20:12,1981-12-15 06:00,6.28,1,9.8
CXY,1981-12-14 21:00,1981-12-15 06:00,5.0,0,9.0
MDT,1981-12-14 21:00,1981-12-15 04:00,7.0,1,7.0
LNS,1981-12-14 23:00,1981-12-15 04:00,5.0,0,5.0
EWR,1981-12-15 00:00,1981-12-15 01:00,1.0,0,1.0
RDG,1981-12-15 00:00,1981-12-15 00:00,0.0,0,0.0
HPN,1981-12-15 03:00,1981-12-15 04:00,1.0,0,1.0
HFD,1981-12-15 04:45,1981-12-15 04:45,0.0,0,0.0
SWF,1981-12-15 05:00,1981-12-16 05:00,9.0,1,24.0
BDL,1981-12-15 06:25,1981-12-15 06:25,0.0,0,0.0
PSM,1981-12-15 10:00,1981-12-15 11:00,1.0,0,1.0
ORH,1981-12-15 11:00,1981-12-15 11:00,0.0,0,0.0
NHZ,1981-12-15 13:00,1981-12-16 08:00,2.0,0,19.0
AUG,1981-12-15 14:30,1981-12-16 12:00,8.33,1,21.5
HUL,1981-12-15 20:00,1981-12-16 10:00,5.33,0,14.0
BAF,1981-12-15 23:00,1981-12-16 01:00,2.0,0,2.0
LEB,1981-12-16 14:00,1981-12-16 14:07,0.12,0,0.12
FRI,1981-12-16 15:00,1981-12-16 16:00,1.0,0,1.0
MKC,1981-12-16 19:00,1981-12-16 19:00,0.0,0,0.0
SDF,1981-12-17 08:26,1981-12-17 10:00,1.57,0,1.57
LEX,1981-12-17 08:46,1981-12-17 12:00,3.23,0,3.23
LOU,1981-12-17 09:00,1981-12-17 10:00,1.0,0,1.0
LOZ,1981-12-17 10:00,1981-12-17 13:00,3.0,0,3.0
JKL,1981-12-17 10:22,1981-12-17 14:00,1.63,0,3.63
CRW,1981-12-17 14:00,1981-12-17 14:03,0.05,0,0.05
HTS,1981-12-17 14:00,1981-12-17 15:00,1.0,0,1.0
TRI,1981-12-17 15:00,1981-12-17 16:00,1.0,0,1.0
CKB,1981-12-18 02:00,1981-12-18 02:00,0.0,0,0.0
BOS,1981-12-18 13:00,1981-12-18 19:00,3.0,0,6.0
BAF,1981-12-18 15:00,1981-12-18 16:00,1.0,0,1.0
ISN,1981-12-20 10:00,1981-12-20 11:00,1.0,0,1.0
MIB,1981-12-20 12:00,1981-12-20 13:00,1.0,0,1.0
SHV,1981-12-20 13:00,1981-12-20 14:00,1.0,0,1.0
ELD,1981-12-20 14:00,1981-12-20 16:00,1.63,0,2.0
BIS,1981-12-20 14:00,1981-12-20 17:00,3.0,0,3.0
RDR,1981-12-20 15:00,1981-12-20 16:00,1.0,0,1.0
MLU,1981-12-20 15:00,1981-12-20 15:00,0.0,0,0.0
JMS,1981-12-20 16:00,1981-12-20 16:00,0.0,0,0.0
FAR,1981-12-20 19:00,1981-12-20 20:00,1.0,0,1.0
ABR,1981-12-20 20:00,1981-12-20 21:00,1.0,0,1.0
ATY,1981-12-20 21:00,1981-12-20 21:00,0.0,0,0.0
GFK,1981-12-20 22:00,1981-12-20 22:00,0.0,0,0.0
HON,1981-12-20 22:14,1981-12-20 22:14,0.0,0,0.0
AXN,1981-12-20 22:37,1981-12-20 23:05,0.47,0,0.47
HOT,1981-12-20 23:00,1981-12-21 04:00,3.0,0,5.0
DSM,1981-12-20 23:00,1981-12-21 03:00,3.48,0,4.0
LWD,1981-12-21 00:00,1981-12-21 00:00,0.0,0,0.0
FSD,1981-12-21 00:00,1981-12-21 01:00,1.0,0,1.0
LRF,1981-12-21 00:00,1981-12-21 03:00,3.0,0,3.0
PBF,1981-12-21 01:00,1981-12-21 02:00,1.0,0,1.0
LIT,1981-12-21 01:00,1981-12-21 01:00,0.0,0,0.0
RWF,1981-12-21 01:00,1981-12-21 01:00,0.0,0,0.0
MLI,1981-12-21 02:00,1981-12-21 11:00,4.0,0,9.0
OTM,1981-12-21 02:00,1981-12-21 04:00,2.0,0,2.0
IRK,1981-12-21 03:00,1981-12-21 03:00,0.0,0,0.0
MCI,1981-12-21 03:00,1981-12-21 04:00,1.0,0,1.0
JBR,1981-12-21 03:00,1981-12-21 13:00,7.0,1,10.0
RST,1981-12-21 03:00,1981-12-21 03:00,0.0,0,0.0
FLV,1981-12-21 03:00,1981-12-21 04:00,1.0,0,1.0
STL,1981-12-21 03:24,1981-12-21 09:00,5.6,0,5.6
MCW,1981-12-21 04:00,1981-12-21 04:00,0.0,0,0.0
PIA,1981-12-21 04:00,1981-12-21 05:00,1.0,0,1.0
SPI,1981-12-21 04:00,1981-12-21 12:00,4.23,0,8.0
BYH,1981-12-21 04:00,1981-12-21 10:00,5.0,0,6.0
CID,1981-12-21 04:00,1981-12-21 04:00,0.0,0,0.0
RFD,1981-12-21 05:00,1981-12-21 05:00,0.0,0,0.0
UIN,1981-12-21 05:00,1981-12-21 09:00,2.0,0,4.0
