station,start_time,end_time,zr_hours,label,duration
MWN,1996-11-07 03:55,1996-11-07 04:52,0.95,0,0.95
OFK,1996-11-13 03:54,1996-11-13 15:54,12.0,1,12.0
CNK,1996-11-13 11:55,1996-11-15 02:55,6.0,1,39.0
LEX,1996-11-14 03:54,1996-11-14 03:54,0.0,0,0.0
CBK,1996-11-14 05:56,1996-11-16 13:56,35.0,1,56.0
SYF,1996-11-14 05:56,1996-11-16 13:56,35.0,1,56.0
GLD,1996-11-14 05:56,1996-11-16 13:56,35.0,1,56.0
JKL,1996-11-14 11:56,1996-11-14 11:56,0.0,0,0.0
DDC,1996-11-14 13:56,1996-11-14 14:56,1.0,0,1.0
TBN,1996-11-14 19:55,1996-11-14 19:55,0.0,0,0.0
MIB,1996-11-14 20:08,1996-11-14 20:55,0.78,0,0.78
LNK,1996-11-14 21:01,1996-11-15 02:54,2.0,0,5.88
OFK,1996-11-14 21:54,1996-11-15 07:54,10.0,1,10.0
SUX,1996-11-14 22:55,1996-11-15 06:55,8.0,1,8.0
ABR,1996-11-14 23:33,1996-11-14 23:56,0.38,0,0.38
FSD,1996-11-14 23:56,1996-11-17 01:56,22.38,1,50.0
OFF,1996-11-15 01:30,1996-11-15 01:55,0.42,0,0.42
IRK,1996-11-15 02:45,1996-11-15 02:45,0.0,0,0.0
OMA,1996-11-15 02:52,1996-11-15 04:52,2.0,0,2.0
FLV,1996-11-15 02:53,1996-11-15 02:53,0.0,0,0.0
MCI,1996-11-15 02:53,1996-11-15 02:53,0.0,0,0.0
OTM,1996-11-15 03:50,1996-11-15 07:50,2.0,0,4.0
BRL,1996-11-15 04:50,1996-11-15 07:50,1.0,0,3.0
ALO,1996-11-15 04:54,1996-11-15 15:54,6.0,1,11.0
MCW,1996-11-15 07:51,1996-11-15 14:50,0.98,0,6.98
FAR,1996-11-15 08:54,1996-11-15 14:54,5.0,0,6.0
RST,1996-11-15 10:54,1996-11-15 23:54,5.0,0,13.0
DBQ,1996-11-15 10:55,1996-11-15 10:55,0.0,0,0.0
PIA,1996-11-15 11:54,1996-11-15 11:54,0.0,0,0.0
JVL,1996-11-15 12:45,1996-11-15 12:45,0.0,0,0.0
CWA,1996-11-15 12:45,1996-11-15 19:45,1.0,0,7.0
AUW,1996-11-15 12:50,1996-11-15 19:50,3.0,0,7.0
MSP,1996-11-15 12:55,1996-11-15 18:11,1.27,0,5.27
MSN,1996-11-15 13:31,1996-11-15 13:31,0.0,0,0.0
STP,1996-11-15 14:53,1996-11-15 15:53,1.0,0,1.0
STC,1996-11-15 16:54,1996-11-15 21:54,5.0,0,5.0
ARV,1996-11-15 18:45,1996-11-15 21:45,3.0,0,3.0
RHI,1996-11-15 18:50,1996-11-16 04:55,7.85,1,10.08
EAU,1996-11-15 18:52,1996-11-15 18:52,0.0,0,0.0
DLH,1996-11-15 20:55,1996-11-16 03:55,2.82,0,7.0
CMX,1996-11-15 22:55,1996-11-15 23:55,1.0,0,1.0
LBF,1996-11-16 06:56,1996-11-16 06:56,0.0,0,0.0
OFK,1996-11-16 18:54,1996-11-16 19:54,1.0,0,1.0
GRI,1996-11-16 18:56,1996-11-16 22:56,4.0,0,4.0
LNK,1996-11-17 01:44,1996-11-17 02:47,0.5,0,1.05
SUX,1996-11-17 01:55,1996-11-17 02:55,1.0,0,1.0
CNK,1996-11-17 01:55,1996-11-17 02:55,1.0,0,1.0
FLV,1996-11-17 07:53,1996-11-17 07:53,0.0,0,0.0
MCI,1996-11-17 07:53,1996-11-17 07:53,0.0,0,0.0
DLH,1996-11-17 12:55,1996-11-17 13:10,0.25,0,0.25
CYOW,1996-11-18 11:00,1996-11-18 11:00,0.0,0,0.0
HON,1996-11-19 16:55,1996-11-20 00:55,1.0,0,8.0
FSD,1996-11-20 03:56,1996-11-20 19:56,2.0,0,16.0
DIK,1996-11-20 05:50,1996-11-20 12:50,4.98,0,7.0
PIR,1996-11-20 06:47,1996-11-20 06:47,0.0,0,0.0
BIS,1996-11-20 08:55,1996-11-20 13:55,5.0,0,5.0
ABR,1996-11-20 10:56,1996-11-20 18:56,3.0,0,8.0
CID,1996-11-20 14:52,1996-11-20 14:52,0.0,0,0.0
BRL,1996-11-21 05:50,1996-11-21 05:50,0.0,0,0.0
PIA,1996-11-21 09:54,1996-11-21 10:54,1.0,0,1.0
IND,1996-11-21 10:56,1996-11-21 12:56,2.0,0,2.0
OFK,1996-11-22 15:54,1996-11-22 15:54,0.0,0,0.0
RCA,1996-11-22 19:33,1996-11-22 19:33,0.0,0,0.0
STC,1996-11-22 21:54,1996-11-23 01:54,3.0,0,4.0
