station,start_time,zr_hours,label,duration,lon,lat
GED,2004-01-26 11:22,7.2,1,39.67,-75.3589,38.6892
PNE,2004-01-26 12:04,9.83,1,48.83,-75.0134,40.0789
THV,2004-01-26 16:53,6.95,1,20.82,-76.873,39.917
AKR,2004-01-26 17:24,7.13,1,20.5,-81.4669,41.0375
CLE,2004-01-26 17:28,6.03,1,7.38,-81.8528,41.405
TDZ,2004-01-26 18:28,6.27,1,12.42,-83.4764,41.5631
FDY,2004-01-26 19:19,6.25,1,18.02,-83.6686,41.0136
ADG,2004-01-26 20:45,7.72,1,14.88,-84.0773,41.8677
HZY,2004-01-26 21:00,7.25,1,18.35,-80.6955,41.778
YNG,2004-01-26 21:28,11.72,1,19.12,-80.6739,41.2544
ERI,2004-01-26 22:07,6.83,1,22.0,-80.18,42.08
GKJ,2004-01-26 22:20,6.82,1,21.9,-80.2147,41.6265
MPO,2004-01-26 23:44,8.47,1,67.15,-75.3794,41.1389
TOL,2004-01-27 00:01,10.65,1,12.85,-83.8014,41.5886
NAK,2004-01-27 00:13,11.57,1,23.02,-76.4891,38.9913
ILG,2004-01-27 03:51,8.43,1,20.65,-75.6008,39.6728
BUF,2004-01-27 05:54,8.0,1,11.0,-78.7358,42.9408
ADW,2004-01-27 07:45,7.87,1,13.17,-76.867,38.8108
