station,start_time,zr_hours,label,duration,lon,lat
RSP,2013-12-08 22:10,13.15,1,13.73,-77.468,39.645
RYT,2013-12-08 22:22,11.33,1,12.73,-77.43,39.734
BWI,2013-12-08 22:31,9.1,1,13.38,-76.6683,39.1754
HGR,2013-12-08 23:23,5.6,0,12.15,-77.7297,39.7078
THV,2013-12-08 23:29,6.13,1,12.12,-76.873,39.917
LNS,2013-12-08 23:41,11.37,1,13.28,-76.2944,40.1203
ILG,2013-12-08 23:49,6.12,1,7.75,-75.6008,39.6728
MDT,2013-12-09 00:39,4.42,0,13.28,-76.7633,40.1936
CXY,2013-12-09 00:56,5.97,0,11.0,-76.8515,40.2171
ACY,2013-12-09 01:02,0.35,0,0.0,-74.5772,39.4576
FIG,2013-12-09 01:19,7.72,1,12.58,-78.4117,41.0467
WRI,2013-12-09 01:40,4.17,0,8.97,-74.5917,40.0156
JST,2013-12-09 01:47,4.17,0,9.48,-78.8339,40.3161
RDG,2013-12-09 02:08,8.85,1,10.22,-75.9652,40.3785
MRB,2013-12-09 02:09,6.75,1,10.83,-77.9847,39.4019
IPT,2013-12-09 02:19,7.28,1,11.82,-76.9217,41.2433
SEG,2013-12-09 02:23,3.53,0,9.5,-76.8639,40.8206
JFK,2013-12-09 02:26,0.87,0,2.85,-73.7622,40.6386
PTW,2013-12-09 02:30,4.85,0,7.52,-75.5572,40.2383
AOO,2013-12-09 02:30,2.23,0,8.38,-78.32,40.2964
CDW,2013-12-09 02:53,13.0,1,12.83,-74.2831,40.8764
ISP,2013-12-09 02:56,3.07,0,6.0,-73.1017,40.7939
VAY,2013-12-09 03:08,4.35,0,4.77,-74.8457,39.9429
BFD,2013-12-09 03:12,3.07,0,9.68,-78.6401,41.8031
PNE,2013-12-09 03:15,4.88,0,7.28,-75.0134,40.0789
MPO,2013-12-09 03:16,12.43,1,11.88,-75.3794,41.1389
AGC,2013-12-09 03:24,1.93,0,1.8,-79.9217,40.3547
TTN,2013-12-09 03:26,8.07,1,7.58,-74.8159,40.2768
ABE,2013-12-09 03:26,10.18,1,9.93,-75.4492,40.6508
DYL,2013-12-09 03:29,7.13,1,8.42,-75.1223,40.333
SMQ,2013-12-09 03:40,6.92,1,8.22,-74.6694,40.6239
AVP,2013-12-09 03:41,3.1,0,9.17,-75.7227,41.3335
FRG,2013-12-09 03:47,2.3,0,4.32,-73.4134,40.7288
FOK,2013-12-09 03:50,1.83,0,1.57,-72.6318,40.8436
HWV,2013-12-09 03:52,3.83,0,6.07,-72.8689,40.8217
LGA,2013-12-09 03:56,3.68,0,4.2,-73.8803,40.7794
EWR,2013-12-09 04:02,4.92,0,8.37,-74.1693,40.6827
SWF,2013-12-09 04:10,0.58,0,0.0,-74.1048,41.5041
MGJ,2013-12-09 04:13,5.4,0,11.27,-74.265,41.5092
NYC,2013-12-09 04:47,2.23,0,2.07,-73.9692,40.779
BDR,2013-12-09 04:52,6.07,1,9.63,-73.1289,41.1583
WST,2013-12-09 05:08,1.07,0,6.75,-71.7989,41.3497
HVN,2013-12-09 06:00,3.62,0,6.97,-72.8868,41.2638
UUU,2013-12-09 07:26,3.23,0,3.45,-71.2815,41.5324
MMK,2013-12-09 07:33,5.88,0,8.33,-72.83,41.51
HPN,2013-12-09 07:51,1.98,0,5.47,-73.7075,41.0669
MVY,2013-12-09 08:00,0.23,0,0.08,-70.615,41.3931
FWN,2013-12-09 08:28,3.42,0,4.68,-74.623,41.2002
HFD,2013-12-09 09:05,4.4,0,5.92,-72.6494,41.7367
POU,2013-12-09 09:10,5.52,0,7.72,-73.8842,41.6266
PVD,2013-12-09 09:20,3.62,0,3.52,-71.4325,41.7219
EWB,2013-12-09 09:23,1.67,0,1.5,-70.9583,41.6764
IJD,2013-12-09 09:26,3.3,0,4.43,-72.1836,41.7419
BAF,2013-12-09 09:29,6.23,1,8.65,-72.7161,42.1578
FMH,2013-12-09 09:55,0.33,0,0.0,-70.5215,41.6585
TEB,2013-12-09 09:59,1.82,0,1.87,-74.0562,40.859
TAN,2013-12-09 10:14,1.82,0,1.63,-71.0211,41.8756
PYM,2013-12-09 10:18,0.33,0,0.0,-70.7288,41.909
ORH,2013-12-09 10:19,5.25,0,6.58,-71.8757,42.2673
OWD,2013-12-09 11:37,0.68,0,0.27,-71.1733,42.1912
BDL,2013-12-09 11:51,3.0,0,2.0,-72.6825,41.9381
ALB,2013-12-09 11:54,2.43,0,2.07,-73.8036,42.7576
CEF,2013-12-09 12:19,2.4,0,3.65,-72.5348,42.193999999999996
ORE,2013-12-09 12:38,3.27,0,4.37,-72.2886,42.5701
DDH,2013-12-09 14:11,0.37,0,0.0,-73.2486,42.8935
PSF,2013-12-09 14:19,0.42,0,0.0,-73.2892,42.4272
