station,start_time,zr_hours,label,duration,lon,lat
ROG,2013-01-25 07:52,0.68,0,0.08,-94.10700000000001,36.3724
MQY,2013-01-25 09:06,0.45,0,0.0,-86.5201,36.009
CSV,2013-01-25 09:14,5.63,0,8.12,-85.085,35.9513
HOP,2013-01-25 09:24,2.85,0,4.52,-87.4962,36.6686
CKV,2013-01-25 09:25,3.23,0,6.45,-87.415,36.6219
PAH,2013-01-25 09:53,0.93,0,1.5,-88.7744,37.0563
TYS,2013-01-25 09:58,9.17,1,9.92,-83.9858,35.8181
BWG,2013-01-25 10:08,5.15,0,5.75,-86.4197,36.9645
OQT,2013-01-25 10:53,2.2,0,5.82,-84.2336,36.023
EKQ,2013-01-25 11:34,3.87,0,6.43,-84.8561,36.8553
FTK,2013-01-25 12:21,1.45,0,0.82,-85.9721,37.9071
LOZ,2013-01-25 12:25,3.47,0,4.38,-84.07700000000001,37.086999999999996
LWV,2013-01-25 12:35,0.93,0,0.77,-87.6055,38.7643
SDF,2013-01-25 12:39,2.58,0,2.28,-85.736,38.1744
HKA,2013-01-25 12:53,1.43,0,1.0,-89.83,35.94
TRI,2013-01-25 13:36,5.5,0,6.65,-82.4074,36.4752
GVL,2013-01-25 14:06,1.83,0,11.78,-83.8303,34.2719
JKL,2013-01-25 14:06,3.73,0,6.45,-83.3144,37.5914
PBF,2013-01-25 14:13,3.37,0,3.17,-91.9347,34.175
GSP,2013-01-25 14:39,0.2,0,0.0,-82.2239,34.8847
AVL,2013-01-25 14:54,0.8,0,4.0,-82.5375,35.4319
LEX,2013-01-25 15:12,1.35,0,0.87,-84.6058,38.0408
FBG,2013-01-25 15:35,1.92,0,7.42,-78.9367,35.1318
RDU,2013-01-25 16:51,5.18,0,5.38,-78.7819,35.8922
BKW,2013-01-25 17:34,1.27,0,5.55,-81.1242,37.7873
GSB,2013-01-25 17:38,3.05,0,7.28,-77.9606,35.3394
HKY,2013-01-25 18:00,1.43,0,1.07,-81.3896,35.7412
GSO,2013-01-25 18:17,3.07,0,3.02,-79.9436,36.0975
INT,2013-01-25 18:31,1.23,0,1.38,-80.222,36.1337
DAN,2013-01-25 18:32,2.05,0,2.35,-79.3361,36.5729
BUY,2013-01-25 18:45,2.53,0,2.77,-79.4749,36.0485
RWI,2013-01-25 18:45,4.82,0,5.13,-77.8919,35.8562
HFF,2013-01-25 19:03,0.25,0,0.0,-79.4974,35.0367
IGX,2013-01-25 19:10,3.33,0,3.07,-79.0642,35.9333
CEU,2013-01-25 19:14,0.42,0,0.25,-82.8868,34.6719
BLF,2013-01-25 19:17,7.48,1,7.58,-81.2077,37.2958
UZA,2013-01-25 19:27,1.38,0,1.45,-81.0572,34.9878
CLT,2013-01-25 19:30,1.9,0,1.37,-80.9543,35.2226
AND,2013-01-25 19:32,0.83,0,0.4,-82.7094,34.4946
AKH,2013-01-25 19:34,1.3,0,1.0,-81.1558,35.1967
GMU,2013-01-25 19:35,0.37,0,0.3,-82.3461,34.8461
GYH,2013-01-25 19:47,0.55,0,0.0,-82.3764,34.7583
EQY,2013-01-25 19:53,1.57,0,1.28,-80.6206,35.0169
JQF,2013-01-25 19:55,1.0,0,0.0,-80.7091,35.3878
POB,2013-01-25 20:09,2.47,0,2.3,-79.0145,35.1709
2DP,2013-01-25 20:55,0.45,0,0.0,-75.9,35.6667
FAY,2013-01-25 21:27,1.87,0,1.43,-78.8803,34.9912
EWN,2013-01-25 21:37,1.37,0,1.28,-77.0472,35.0675
MEB,2013-01-25 21:39,1.22,0,0.22,-79.3658,34.7919
CRW,2013-01-26 03:03,0.33,0,0.0,-81.59,38.3794
