station,start_time,zr_hours,label,duration,lon,lat
RFD,2007-12-01 18:41,8.53,1,8.63,-89.09299999999999,42.1927
ARR,2007-12-01 19:10,8.53,1,8.82,-88.48,41.77
DPA,2007-12-01 19:34,10.88,1,10.3,-88.2486,41.9078
GUS,2007-12-01 19:55,0.58,0,0.0,-86.1521,40.6481
ORD,2007-12-01 20:19,8.35,1,7.7,-87.9319,41.9875
MDW,2007-12-01 20:24,8.18,1,7.45,-87.7524,41.786
PWK,2007-12-01 20:44,6.92,1,8.13,-87.9047,42.1208
VPZ,2007-12-01 20:51,3.53,0,8.33,-87.0071,41.45399999999999
UGN,2007-12-01 21:14,7.98,1,7.95,-87.8679,42.4222
FWA,2007-12-01 21:23,2.53,0,8.6,-85.1871,40.978
GSH,2007-12-01 22:23,3.25,0,7.5,-85.7922,41.5272
MSN,2007-12-01 22:28,3.62,0,4.77,-89.3453,43.1406
ENW,2007-12-01 22:40,3.55,0,3.22,-87.9381,42.595
DFI,2007-12-01 22:53,1.93,0,8.43,-84.4288,41.3375
MFD,2007-12-01 23:52,2.0,0,3.0,-82.52,40.82
BTL,2007-12-01 23:53,5.0,0,31.0,-85.2515,42.3073
AZO,2007-12-01 23:53,4.0,0,5.0,-85.5519,42.2347
RAC,2007-12-02 00:16,2.23,0,2.12,-87.8136,42.7611
OVS,2007-12-02 00:23,1.98,0,1.5,-90.6775,43.1561
SBN,2007-12-02 00:25,4.35,0,7.48,-86.3164,41.7072
BJJ,2007-12-02 00:26,2.15,0,2.5,-81.8882,40.8748
LSE,2007-12-02 00:26,1.98,0,1.6,-91.25,43.88
TDZ,2007-12-02 00:53,3.0,0,7.0,-83.4764,41.5631
ADG,2007-12-02 00:53,5.0,0,9.0,-84.0773,41.8677
GRR,2007-12-02 00:53,8.0,1,7.0,-85.52,42.88
LAN,2007-12-02 00:53,8.0,1,8.0,-84.58,42.78
JXN,2007-12-02 00:56,4.0,0,6.0,-84.4594,42.2598
CAK,2007-12-02 00:56,3.3,0,2.92,-81.4422,40.9161
AKR,2007-12-02 01:08,1.15,0,2.03,-81.4669,41.0375
MKE,2007-12-02 01:10,2.87,0,2.7,-87.8967,42.9472
LNR,2007-12-02 01:33,1.07,0,0.75,-90.1798,43.2119
VOK,2007-12-02 01:41,1.33,0,2.75,-90.2532,43.9392
LPR,2007-12-02 01:53,2.0,0,9.0,-82.1794,41.3461
UES,2007-12-02 01:58,0.85,0,0.0,-88.2371,43.041000000000004
ISW,2007-12-02 02:12,4.95,0,6.7,-89.8369,44.3592
PIT,2007-12-02 02:51,1.47,0,1.0,-80.2329,40.4915
CLE,2007-12-02 02:51,1.0,0,3.73,-81.8528,41.405
BKL,2007-12-02 02:53,1.0,0,0.0,-81.6833,41.5175
DTW,2007-12-02 02:53,3.0,0,5.0,-83.33,42.23
Y50,2007-12-02 02:56,6.0,1,5.0,-89.3045,44.0416
FLD,2007-12-02 03:01,2.87,0,2.87,-88.4884,43.7712
OSH,2007-12-02 03:01,2.93,0,2.87,-88.557,43.9844
CYQG,2007-12-02 03:23,1.38,0,0.62,-82.9604,42.266000000000005
YNG,2007-12-02 03:51,2.0,0,7.0,-80.6739,41.2544
FNT,2007-12-02 03:53,7.0,1,7.0,-83.7494,42.9667
ATW,2007-12-02 03:53,0.73,0,1.18,-88.5191,44.2581
EAU,2007-12-02 03:54,2.38,0,2.03,-91.4843,44.8658
MFI,2007-12-02 04:36,2.42,0,8.72,-90.1893,44.6369
CYZR,2007-12-02 04:39,1.73,0,6.17,-82.3073,42.9951
PTK,2007-12-02 04:53,4.0,0,3.0,-83.4201,42.6655
MTC,2007-12-02 04:57,1.02,0,0.0,-82.8355,42.6083
AUW,2007-12-02 04:58,4.58,0,4.93,-89.6266,44.9262
RHI,2007-12-02 05:44,2.1,0,1.15,-89.4675,45.6312
ARB,2007-12-02 05:53,2.0,0,1.0,-83.7397,42.224
TOL,2007-12-02 06:52,2.0,0,1.0,-83.8014,41.5886
MBS,2007-12-02 06:53,4.0,0,3.0,-84.08,43.53
IKW,2007-12-02 06:53,4.0,0,3.0,-84.2613,43.6629
YIP,2007-12-02 06:53,1.0,0,0.0,-83.5304,42.2379
TVC,2007-12-02 07:53,1.0,0,0.0,-85.5824,44.7416
