station,start_time,zr_hours,label,duration,lon,lat
GEZ,1999-01-13 12:53,6.0,1,6.0,-85.8048,39.5831
MGY,1999-01-13 12:53,16.0,1,24.0,-84.2249,39.589
OSU,1999-01-13 13:53,6.0,1,13.0,-83.08,40.08
PHD,1999-01-13 13:53,8.0,1,35.0,-81.4236,40.4719
PIT,1999-01-13 14:01,14.97,1,31.83,-80.2329,40.4915
SGH,1999-01-13 14:55,22.48,1,0.0,-83.8402,39.8403
ZZV,1999-01-13 17:50,18.17,1,32.0,-81.8921,39.9444
HLG,1999-01-13 18:11,25.12,1,34.12,-80.6463,40.175
ILN,1999-01-13 18:11,10.83,1,11.72,-83.8217,39.4203
AGC,1999-01-13 18:35,11.25,1,21.25,-79.9217,40.3547
HAO,1999-01-13 19:00,8.83,1,14.15,-84.5219,39.3638
BAK,1999-01-13 19:50,14.0,1,7.0,-85.8963,39.2619
LHQ,1999-01-13 19:53,10.0,1,18.0,-82.6571,39.7556
CVG,1999-01-13 20:35,9.67,1,9.68,-84.6717,39.0431
AOO,1999-01-13 20:51,7.6,1,16.03,-78.32,40.2964
LUK,1999-01-13 21:53,7.0,1,12.0,-84.4186,39.1033
MUI,1999-01-13 22:09,13.77,1,1.78,-76.5693,40.4348
JST,1999-01-13 22:47,11.28,1,32.42,-78.8339,40.3161
MDT,1999-01-13 23:14,12.85,1,36.6,-76.7633,40.1936
EWR,1999-01-13 23:37,13.88,1,38.23,-74.1693,40.6827
MMU,1999-01-13 23:45,17.33,1,38.0,-74.4149,40.7994
LGA,1999-01-13 23:51,21.0,1,37.0,-73.8803,40.7794
HPN,1999-01-14 00:40,12.08,1,35.08,-73.7075,41.0669
CDW,1999-01-14 00:45,11.23,1,3.0,-74.2831,40.8764
RDG,1999-01-14 00:50,7.0,1,35.92,-75.9652,40.3785
TTN,1999-01-14 01:18,13.25,1,32.58,-74.8159,40.2768
ABE,1999-01-14 01:39,17.33,1,38.2,-75.4492,40.6508
FRG,1999-01-14 01:45,17.08,1,33.08,-73.4134,40.7288
LNS,1999-01-14 01:48,15.55,1,33.03,-76.2944,40.1203
PKB,1999-01-14 01:50,14.3,1,26.0,-81.4392,39.3451
MGW,1999-01-14 02:28,7.32,1,8.8,-79.9163,39.6429
LBE,1999-01-14 02:30,7.0,1,13.25,-79.4048,40.2759
ISP,1999-01-14 02:50,9.0,1,28.0,-73.1017,40.7939
PHL,1999-01-14 03:05,11.08,1,29.82,-75.2311,39.8683
PNE,1999-01-14 03:06,14.07,1,30.93,-75.0134,40.0789
VAY,1999-01-14 03:23,11.08,1,27.52,-74.8457,39.9429
MRB,1999-01-14 04:33,10.15,1,30.03,-77.9847,39.4019
HGR,1999-01-14 04:37,10.92,1,28.83,-77.7297,39.7078
LEX,1999-01-14 05:13,7.75,1,18.97,-84.6058,38.0408
ILG,1999-01-14 05:16,16.15,1,28.22,-75.6008,39.6728
ADW,1999-01-14 08:34,9.97,1,28.43,-76.867,38.8108
BWI,1999-01-14 09:33,9.47,1,25.1,-76.6683,39.1754
IAD,1999-01-14 09:34,8.2,1,27.63,-77.4473,38.9348
