station,start_time,zr_hours,label,duration,lon,lat
DMO,2018-02-20 21:50,3.72,0,6.05,-93.1759,38.7074
BRL,2018-02-20 22:10,0.83,0,0.75,-91.1255,40.7729
UIN,2018-02-20 23:40,4.53,0,5.08,-91.1946,39.9428
COU,2018-02-21 00:20,3.58,0,4.08,-92.2183,38.8169
PIA,2018-02-21 02:33,4.63,0,4.98,-89.6839,40.6675
MKO,2018-02-21 02:45,1.17,0,1.13,-95.3614,35.6567
JEF,2018-02-21 03:15,2.37,0,3.92,-92.1561,38.5912
SGF,2018-02-21 03:30,2.42,0,3.92,-93.3897,37.2397
ARR,2018-02-21 04:08,2.28,0,2.37,-88.48,41.77
SPI,2018-02-21 04:35,3.18,0,3.75,-89.6839,39.8447
TBN,2018-02-21 04:37,1.9,0,28.15,-92.1407,37.7416
VIH,2018-02-21 04:50,1.92,0,2.33,-91.77,38.13
MLC,2018-02-21 05:40,4.6,0,19.42,-95.7831,34.8822
SET,2018-02-21 06:54,1.7,0,17.52,-90.43,38.93
DEC,2018-02-21 07:00,3.23,0,3.83,-88.8657,39.8346
BIV,2018-02-21 07:41,1.73,0,1.65,-86.0967,42.7461
SUS,2018-02-21 07:45,2.62,0,18.17,-90.6558,38.6572
STL,2018-02-21 08:10,1.67,0,20.5,-90.3734,38.7524
HRO,2018-02-21 08:15,5.28,0,23.25,-93.1547,36.2615
CMI,2018-02-21 08:42,2.97,0,3.8,-88.2778,40.0388
BEH,2018-02-21 08:45,1.67,0,1.58,-86.4285,42.1286
MDW,2018-02-21 08:47,0.1,0,0.05,-87.7524,41.786
CPS,2018-02-21 09:20,1.63,0,15.55,-90.1562,38.5707
VPZ,2018-02-21 09:20,1.58,0,1.5,-87.0071,41.45399999999999
GRR,2018-02-21 09:35,1.0,0,0.92,-85.52,42.88
BLV,2018-02-21 09:56,1.83,0,2.42,-89.8352,38.5452
MTO,2018-02-21 10:22,2.25,0,2.13,-88.2792,39.4779
AZO,2018-02-21 10:25,1.75,0,1.67,-85.5519,42.2347
SBN,2018-02-21 10:45,0.75,0,0.83,-86.3164,41.7072
CYVV,2018-02-21 11:26,1.57,0,0.57,-81.1072,44.7458
