station,start_time,zr_hours,label,duration,lon,lat
FWA,2017-01-10 06:04,3.3,0,3.27,-85.1871,40.978
GSH,2017-01-10 06:10,1.0,0,0.92,-85.7922,41.5272
DFI,2017-01-10 07:13,2.2,0,3.78,-84.4288,41.3375
MTC,2017-01-10 07:21,1.72,0,7.08,-82.8355,42.6083
DAY,2017-01-10 07:52,5.05,0,4.97,-84.2186,39.9061
TOL,2017-01-10 07:55,2.38,0,3.33,-83.8014,41.5886
AOH,2017-01-10 07:55,1.33,0,1.25,-84.0267,40.7069
FFO,2017-01-10 07:58,1.6,0,2.0,-84.0483,39.8261
ADG,2017-01-10 08:03,0.95,0,4.37,-84.0773,41.8677
FDY,2017-01-10 08:10,2.92,0,3.33,-83.6686,41.0136
TDZ,2017-01-10 08:15,2.75,0,2.67,-83.4764,41.5631
BTL,2017-01-10 09:05,0.33,0,0.25,-85.2515,42.3073
MNN,2017-01-10 09:25,0.55,0,1.42,-83.0635,40.6162
SGH,2017-01-10 09:35,0.58,0,0.5,-83.8402,39.8403
CMH,2017-01-10 09:50,1.83,0,3.58,-82.8808,39.9914
OSU,2017-01-10 10:50,0.72,0,1.5,-83.08,40.08
CYQG,2017-01-10 11:31,3.82,0,3.82,-82.9604,42.266000000000005
VTA,2017-01-10 11:45,2.17,0,2.25,-82.4618,40.0247
CLE,2017-01-10 12:08,3.07,0,3.12,-81.8528,41.405
YIP,2017-01-10 12:10,2.0,0,2.58,-83.5304,42.2379
DTW,2017-01-10 12:14,0.9,0,0.85,-83.33,42.23
LAN,2017-01-10 12:15,1.0,0,0.98,-84.58,42.78
BJJ,2017-01-10 12:15,1.0,0,2.33,-81.8882,40.8748
JXN,2017-01-10 12:25,0.25,0,0.17,-84.4594,42.2598
AKR,2017-01-10 12:35,3.17,0,3.08,-81.4669,41.0375
LPR,2017-01-10 12:35,0.58,0,0.5,-82.1794,41.3461
CAK,2017-01-10 12:37,3.2,0,3.13,-81.4422,40.9161
TZR,2017-01-10 12:47,1.0,0,0.0,-83.1369,39.9012
PHD,2017-01-10 12:49,1.65,0,2.02,-81.4236,40.4719
ZZV,2017-01-10 12:53,1.57,0,1.78,-81.8921,39.9444
ARB,2017-01-10 12:53,0.45,0,0.53,-83.7397,42.224
CGF,2017-01-10 13:25,2.33,0,1.33,-81.4864,41.5651
PTK,2017-01-10 13:25,0.42,0,0.33,-83.4201,42.6655
BKL,2017-01-10 13:45,0.42,0,0.33,-81.6833,41.5175
FNT,2017-01-10 13:45,0.92,0,0.83,-83.7494,42.9667
DET,2017-01-10 13:53,0.35,0,0.28,-83.0099,42.4092
YNG,2017-01-10 14:29,3.3,0,3.27,-80.6739,41.2544
HZY,2017-01-10 14:30,1.93,0,2.58,-80.6955,41.778
PIT,2017-01-10 14:44,0.3,0,0.27,-80.2329,40.4915
CYZR,2017-01-10 15:14,0.42,0,0.4,-82.3073,42.9951
GKJ,2017-01-10 15:35,1.42,0,1.33,-80.2147,41.6265
