station,start_time,zr_hours,label,duration,lon,lat
GAG,2007-12-22 12:00,0.38,0,8.88,-99.7764,36.2955
END,2007-12-22 14:55,0.35,0,0.0,-97.9165,36.3392
PWA,2007-12-22 15:40,2.47,0,2.4,-97.6471,35.5342
SWO,2007-12-22 16:17,2.3,0,2.17,-97.0857,36.1612
GOK,2007-12-22 16:49,1.95,0,1.73,-97.4156,35.8498
FLV,2007-12-22 16:53,1.0,0,0.0,-94.9147,39.3683
PNC,2007-12-22 18:04,8.22,1,13.82,-97.1,36.73
BVO,2007-12-22 19:29,0.53,0,0.48,-96.0112,36.7625
RVS,2007-12-22 20:22,1.05,0,1.3,-95.9846,36.0396
FDR,2007-12-22 20:44,0.32,0,0.15,-98.9839,34.3521
TUL,2007-12-22 21:21,0.67,0,0.53,-95.8881,36.1984
FYV,2007-12-22 23:31,0.25,0,0.0,-94.1701,36.0051
XNA,2007-12-23 00:04,0.28,0,0.0,-94.307,36.282
