station,start_time,zr_hours,label,duration,lon,lat
ATW,1998-01-04 11:25,14.05,1,36.33,-88.5191,44.2581
EST,1998-01-04 16:45,8.82,1,9.12,-94.7476,43.4008
ROC,1998-01-04 16:54,9.0,1,10.0,-77.6767,43.1167
GFL,1998-01-04 20:47,8.0,1,10.0,-73.6103,43.3412
EAU,1998-01-04 20:53,7.02,1,12.0,-91.4843,44.8658
ART,1998-01-04 22:50,8.0,1,11.0,-76.0262,43.9888
ISW,1998-01-04 22:54,6.0,1,6.0,-89.8369,44.3592
MFI,1998-01-04 23:54,6.0,1,7.0,-90.1893,44.6369
MSS,1998-01-05 02:50,21.92,1,33.08,-74.8456,44.9358
PLN,1998-01-05 03:52,6.98,1,6.98,-84.7967,45.5709
