station,start_time,zr_hours,label,duration,lon,lat
PWM,1998-01-07 05:41,36.42,1,70.8,-70.3044,43.6424
BTV,1998-01-07 12:54,35.0,1,52.0,-73.15,44.47
MHT,1998-01-07 13:12,6.47,1,9.68,-71.4358,42.9328
OGS,1998-01-07 13:45,8.0,1,8.0,-75.4655,44.6819
CYOW,1998-01-07 15:00,33.48,1,53.37,-75.6692,45.3225
AFN,1998-01-07 15:08,21.28,1,57.73,-72.003,42.8051
ORH,1998-01-07 15:54,24.0,1,58.0,-71.8757,42.2673
IWI,1998-01-07 17:10,15.38,1,56.92,-69.7126,43.9614
ART,1998-01-07 17:50,25.93,1,34.0,-76.0262,43.9888
IZG,1998-01-07 18:02,22.88,1,45.52,-70.9479,43.9911
GTB,1998-01-07 18:24,31.5,1,48.52,-75.7195,44.0556
BGR,1998-01-07 21:49,8.07,1,50.02,-68.8281,44.8074
OLD,1998-01-07 21:49,8.07,1,50.02,-68.6743,44.9525
LAN,1998-01-07 21:55,6.0,1,6.0,-84.58,42.78
NHZ,1998-01-07 23:55,7.0,1,9.0,-69.9386,43.8922
