station,start_time,zr_hours,label,duration,lon,lat
STL,2004-02-02 03:51,0.55,0,0.2,-90.3734,38.7524
SET,2004-02-02 04:16,3.47,0,3.63,-90.43,38.93
UIN,2004-02-02 06:54,2.18,0,6.0,-91.1946,39.9428
SPI,2004-02-02 07:26,3.05,0,9.47,-89.6839,39.8447
IOW,2004-02-02 08:52,4.0,0,4.0,-91.5445,41.6394
BRL,2004-02-02 09:53,3.0,0,7.0,-91.1255,40.7729
DBQ,2004-02-02 09:55,3.0,0,2.0,-90.7091,42.3984
MLI,2004-02-02 10:14,2.92,0,9.63,-90.5075,41.4485
OVS,2004-02-02 10:40,1.82,0,1.85,-90.6775,43.1561
DVN,2004-02-02 10:52,2.0,0,2.0,-90.5948,41.6133
CID,2004-02-02 10:52,2.0,0,1.0,-91.7246,41.8829
CFV,2004-02-02 11:04,2.02,0,3.03,-95.5719,37.094
PIA,2004-02-02 11:29,0.42,0,0.0,-89.6839,40.6675
LWV,2004-02-02 12:05,1.8,0,1.65,-87.6055,38.7643
BVO,2004-02-02 12:23,0.37,0,0.0,-96.0112,36.7625
FTK,2004-02-02 12:45,0.75,0,0.17,-85.9721,37.9071
HUF,2004-02-02 13:36,2.4,0,2.28,-87.3076,39.4515
BMG,2004-02-02 14:01,2.87,0,2.37,-86.6167,39.146
IND,2004-02-02 14:22,3.38,0,4.7,-86.3048,39.7084
EYE,2004-02-02 15:32,3.52,0,3.35,-86.2958,39.825
CMI,2004-02-02 15:58,0.48,0,0.0,-88.2778,40.0388
GUS,2004-02-02 17:04,1.93,0,1.85,-86.1521,40.6481
FWA,2004-02-02 20:11,6.3,1,6.83,-85.1871,40.978
CGX,2004-02-02 20:53,0.25,0,0.0,-87.6079,41.8588
MDW,2004-02-02 20:53,0.25,0,0.0,-87.7524,41.786
DPA,2004-02-02 21:11,0.53,0,0.0,-88.2486,41.9078
GSH,2004-02-02 22:16,1.17,0,0.75,-85.7922,41.5272
SBN,2004-02-02 22:25,1.3,0,1.23,-86.3164,41.7072
BTL,2004-02-03 00:28,0.23,0,0.0,-85.2515,42.3073
LAN,2004-02-03 01:13,1.27,0,0.7,-84.58,42.78
IRK,2004-02-03 02:55,0.7,0,0.0,-92.5433,40.0972
ADG,2004-02-03 03:11,0.93,0,0.7,-84.0773,41.8677
ARB,2004-02-03 03:53,0.55,0,0.0,-83.7397,42.224
STL,2004-02-03 04:19,0.12,0,0.0,-90.3734,38.7524
PTK,2004-02-03 04:53,3.17,0,3.73,-83.4201,42.6655
