station,start_time,zr_hours,label,duration,lon,lat
MIE,2001-02-24 08:53,0.83,0,0.0,-85.3958,40.2425
VPZ,2001-02-24 09:08,2.23,0,2.12,-87.0071,41.45399999999999
FWA,2001-02-24 09:54,2.55,0,2.33,-85.1871,40.978
SBN,2001-02-24 10:06,2.27,0,5.8,-86.3164,41.7072
GSH,2001-02-24 10:20,2.15,0,1.55,-85.7922,41.5272
GYY,2001-02-24 10:50,1.0,0,0.0,-87.4128,41.6163
EKM,2001-02-24 10:50,2.92,0,6.0,-86.0,41.72
AOH,2001-02-24 11:15,1.25,0,0.83,-84.0267,40.7069
AZO,2001-02-24 11:53,3.0,0,4.0,-85.5519,42.2347
FDY,2001-02-24 12:32,1.4,0,0.95,-83.6686,41.0136
BTL,2001-02-24 12:53,2.0,0,1.0,-85.2515,42.3073
JXN,2001-02-24 12:56,7.0,1,13.0,-84.4594,42.2598
DFI,2001-02-24 12:59,0.7,0,0.53,-84.4288,41.3375
LAN,2001-02-24 13:55,5.0,0,10.0,-84.58,42.78
GRR,2001-02-24 13:56,8.0,1,9.0,-85.52,42.88
TOL,2001-02-24 14:52,1.0,0,0.0,-83.8014,41.5886
TDZ,2001-02-24 14:53,1.0,0,0.0,-83.4764,41.5631
ADG,2001-02-24 14:53,5.0,0,10.0,-84.0773,41.8677
BKL,2001-02-24 15:27,0.68,0,0.0,-81.6833,41.5175
