station,start_time,zr_hours,label,duration,lon,lat
HVN,1998-03-21 19:45,1.0,0,0.0,-72.8868,41.2638
CEF,1998-03-21 20:27,0.77,0,1.72,-72.5348,42.193999999999996
ORH,1998-03-21 20:54,5.0,0,14.0,-71.8757,42.2673
ALB,1998-03-21 20:56,3.0,0,10.0,-73.8036,42.7576
FIT,1998-03-21 21:52,4.0,0,8.0,-71.7558,42.5519
LWM,1998-03-21 21:54,1.0,0,0.0,-71.1234,42.7172
AFN,1998-03-21 22:01,1.88,0,7.85,-72.003,42.8051
MHT,1998-03-21 22:44,4.23,0,8.15,-71.4358,42.9328
NHZ,1998-03-21 23:15,0.67,0,0.0,-69.9386,43.8922
