median_time,filename,zr_hours,index,med_lat,med_lon
1987-01-16 08:00,Events_062022/1986/198701160756_198701161000.csv,12.117,619877.449,36.5,-95.25
1987-01-18 13:16,Events_062022/1986/198701180818_198701181930.csv,8.168,473217.118,39.5,-77.5
1987-01-25 00:08,Events_062022/1986/198701242037_198701250300.csv,14.226,5210177.813,36.0,-87.25
1987-02-16 11:00,Events_062022/1986/198702160200_198702162200.csv,10.34,3356475.227,36.75,-80.25
1987-11-28 13:00,Events_062022/1987/198711280500_198711281900.csv,14.597,130865.615,44.25,-95.25
1987-12-25 11:33,Events_062022/1987/198712250705_198712251400.csv,16.332,440872.047,36.25,-97.25
1987-12-28 12:00,Events_062022/1987/198712280500_198712282300.csv,10.064,22476.458,40.75,-82.75
1988-01-03 14:19,Events_062022/1987/198801031200_198801031905.csv,10.138,352784.185,35.75,-79.0
1988-01-07 14:39,Events_062022/1987/198801070415_198801080200.csv,11.795,2555355.278,32.75,-81.25
1988-03-03 11:00,Events_062022/1987/198803031000_198803032100.csv,11.862,31710.786,39.25,-87.5
1989-01-14 22:15,Events_062022/1988/198901141500_198901150202.csv,8.997,35924.413,40.25,-78.5
1989-02-04 21:24,Events_062022/1988/198902041500_198902050600.csv,15.715,1696562.919,31.75,-93.5
1989-02-14 16:37,Events_062022/1988/198902141500_198902150200.csv,10.526,517978.913,36.25,-97.75
1989-02-18 00:38,Events_062022/1988/198902171300_198902181200.csv,11.866,42620.173,35.25,-79.5
1989-03-04 15:00,Events_062022/1988/198903040300_198903050200.csv,10.355,5941594763.865,43.75,-83.75
1989-03-08 03:30,Events_062022/1988/198903080142_198903090000.csv,10.367,560592.153,35.5,-78.0
1989-12-18 06:51,Events_062022/1989/198912180000_198912181300.csv,13.012,136130.876,33.5,-84.0
1990-01-20 12:00,Events_062022/1989/199001200245_199001202200.csv,9.078,463030.205,41.0,-78.75
1990-02-01 21:00,Events_062022/1989/199002011800_199002021200.csv,10.479,2741547.375,40.0,-94.75
1990-02-04 08:00,Events_062022/1989/199002040100_199002041300.csv,8.26,35308399.714,41.75,-72.75
1990-02-14 13:36,Events_062022/1989/199002140300_199002150300.csv,11.141,6126070.032,40.0,-87.0
1990-02-15 12:30,Events_062022/1989/199002150400_199002152325.csv,10.026,53447145.231,42.5,-76.25
1990-03-06 15:00,Events_062022/1989/199003060200_199003070200.csv,13.018,241260.366,42.25,-97.5
1990-03-07 16:30,Events_062022/1989/199003070900_199003080100.csv,11.015,1426019.197,44.25,-94.75
1990-03-24 06:25,Events_062022/1989/199003232200_199003241800.csv,7.942,865181.807,37.0,-92.0
1990-11-19 08:36,Events_062022/1990/199011190800_199011191256.csv,10.565,24873496.142,44.75,-69.0
1990-12-27 18:00,Events_062022/1990/199012270600_199012280314.csv,10.87,998899.128,36.5,-80.25
1991-01-06 09:31,Events_062022/1990/199101060800_199101061128.csv,9.29,149755.877,35.5,-97.75
1991-01-09 11:30,Events_062022/1990/199101090202_199101092200.csv,9.046,7346023414.928,40.75,-74.0
1991-01-11 15:30,Events_062022/1990/199101111144_199101112227.csv,9.902,52783681.719,40.5,-78.5
1991-03-03 21:00,Events_062022/1990/199103031100_199103040800.csv,10.626,534642.271,42.75,-77.0
1991-03-12 22:00,Events_062022/1990/199103121100_199103130234.csv,8.128,11374.739,39.75,-84.25
1991-12-01 20:59,Events_062022/1991/199112011631_199112012300.csv,8.006,54799.356,37.25,-92.75
1991-12-03 08:48,Events_062022/1991/199112022300_199112031832.csv,9.797,99462167.092,42.5,-72.25
1991-12-20 04:00,Events_062022/1991/199112191900_199112201200.csv,8.085,93541.832,41.25,-93.25
1992-03-18 21:00,Events_062022/1991/199203181700_199203190712.csv,7.639,20563.427,40.5,-81.5
1992-12-05 20:59,Events_062022/1992/199212051237_199212060100.csv,9.333,81229.364,34.75,-92.25
1992-12-28 01:25,Events_062022/1992/199212271900_199212281000.csv,8.805,459875.996,37.5,-80.0
1993-01-02 01:59,Events_062022/1992/199301011510_199301021200.csv,7.645,6774300.406,38.5,-95.5
1993-01-13 01:00,Events_062022/1992/199301120700_199301130400.csv,7.547,254737.14,42.5,-83.25
1993-01-19 23:30,Events_062022/1992/199301191827_199301200800.csv,6.919,1117261.202,37.5,-97.5
1993-02-11 22:00,Events_062022/1992/199302111400_199302120500.csv,10.125,1472563.382,41.0,-89.25
1993-02-12 12:09,Events_062022/1992/199302121100_199302121900.csv,9.098,6746690.081,40.5,-75.0
1993-02-24 23:20,Events_062022/1992/199302241534_199302250100.csv,9.094,200465771.991,37.0,-95.5
1993-02-26 07:00,Events_062022/1992/199302260108_199302261000.csv,8.41,793035.433,35.0,-81.0
1993-03-18 16:36,Events_062022/1992/199303181300_199303190300.csv,8.689,1523932.053,38.0,-95.75
1993-11-25 05:00,Events_062022/1993/199311250332_199311260000.csv,14.896,12448.144,35.25,-94.5
1993-12-28 15:00,Events_062022/1993/199312280202_199312290000.csv,10.78,664117.633,36.75,-79.0
1994-01-07 12:00,Events_062022/1993/199401070700_199401080218.csv,15.761,1096644709.656,40.25,-75.25
1994-01-17 17:00,Events_062022/1993/199401170600_199401180030.csv,10.296,56820986809.372,39.0,-77.0
1994-01-27 22:00,Events_062022/1993/199401271200_199401280917.csv,9.463,2170234476524.79,40.75,-77.0
1994-02-08 19:37,Events_062022/1993/199402080933_199402090300.csv,13.842,1292821850.983,39.25,-78.5
1994-02-10 22:59,Events_062022/1993/199402101110_199402110800.csv,11.692,84624885.451,37.25,-80.0
1994-02-23 22:08,Events_062022/1993/199402232000_199402240500.csv,9.837,14592450.414,41.0,-74.5
1994-03-02 11:12,Events_062022/1993/199403020040_199403021700.csv,11.339,12015983.902,37.75,-80.0
1994-03-09 21:19,Events_062022/1993/199403091300_199403100840.csv,10.67,248135.315,40.5,-77.0
1994-12-06 09:30,Events_062022/1994/199412052200_199412061700.csv,14.565,1150640.433,39.0,-95.5
1995-01-06 20:01,Events_062022/1994/199501060824_199501070710.csv,7.181,142071.34,38.5,-79.5
1995-02-15 20:00,Events_062022/1994/199502152000_199502160100.csv,7.496,830539.506,40.75,-75.5
1995-02-28 02:00,Events_062022/1994/199502271900_199502280600.csv,9.779,1239020472.242,43.0,-72.5
1995-12-13 21:00,Events_062022/1995/199512131100_199512140821.csv,7.594,19606957.035,41.5,-84.25
1996-01-07 00:27,Events_062022/1995/199601061218_199601071200.csv,9.137,887123.599,35.25,-79.25
