median_time,filename,zr_hours,index,med_lat,med_lon
1980-12-08 15:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012080900_198012090700.csv,1.867,89550.552,38.5,-95.0
1980-12-13 03:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012130200_198012131331.csv,2.096,830462260.328,43.5,-75.0
1980-12-23 09:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012222200_198012231300.csv,2.129,2043453.536,43.5,-97.5
1980-12-23 10:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012230500_198012231800.csv,2.745,3809847.305,38.75,-77.0
1980-12-23 22:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012231700_198012240400.csv,1.23,1910.798,40.0,-96.75
1980-12-24 17:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012241300_198012241900.csv,1.74,472832.629,39.5,-76.75
1980-12-26 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012260700_198012261700.csv,1.604,1048360.819,38.75,-95.25
1980-12-27 04:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012262200_198012270900.csv,1.279,1818221988.714,45.25,-97.25
1980-12-28 01:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012271100_198012281300.csv,3.122,18321948.905,36.0,-79.0
1980-12-28 21:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012280200_198012290400.csv,3.904,16642.009,44.0,-87.75
1980-12-29 08:05,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198012282005_198012291300.csv,2.376,44255.422,42.5,-80.25
1981-01-06 10:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198101060400_198101061800.csv,2.377,77777.978,36.5,-89.75
1981-01-07 03:14,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198101062209_198101070500.csv,2.0,7773.481,35.25,-82.5
1981-01-30 04:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198101291900_198101300600.csv,3.846,509827.926,36.25,-90.0
1981-02-01 15:13,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102010800_198102020200.csv,2.794,410077.06,41.25,-81.5
1981-02-08 11:02,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102080900_198102081300.csv,1.882,962446.533,42.5,-71.5
1981-02-10 12:48,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102101200_198102102208.csv,0.867,4801770.479,39.75,-84.25
1981-02-11 06:31,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102110200_198102111500.csv,1.455,177940439.648,37.25,-86.25
1981-02-27 14:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102270700_198102280200.csv,3.62,3712379.664,44.75,-89.25
1981-02-28 15:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1980/198102281300_198102281800.csv,1.096,17904.153,43.0,-75.5
1981-11-23 10:13,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198111230500_198111231600.csv,3.402,21627676.197,43.75,-93.5
1981-11-27 09:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198111262200_198111271200.csv,2.97,5120276.634,43.5,-72.75
1981-12-01 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112010600_198112012000.csv,5.308,42482894.379,41.25,-77.0
1981-12-02 00:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112012000_198112020900.csv,3.941,29487693.109,43.75,-71.75
1981-12-14 13:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112140900_198112150000.csv,4.485,576935.778,38.5,-79.25
1981-12-15 10:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112150000_198112152300.csv,3.412,2246344.402,42.0,-72.5
1981-12-17 10:21,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112170826_198112180200.csv,2.101,2879611.23,38.0,-83.5
1981-12-20 22:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112201000_198112211000.csv,1.639,2385619.388,44.75,-97.0
1981-12-21 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112201300_198112211500.csv,4.189,6159236.413,36.75,-89.75
1981-12-22 00:43,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112211412_198112221400.csv,3.715,342475.941,38.0,-81.25
1981-12-23 11:19,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112230600_198112231900.csv,2.473,4827091.479,43.0,-72.5
1981-12-31 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198112310800_198112311829.csv,4.271,193822.465,36.0,-81.5
1982-01-02 18:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201021100_198201030400.csv,2.14,565940.156,41.25,-90.5
1982-01-03 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201030502_198201032300.csv,3.414,940347589.301,40.25,-77.0
1982-01-03 16:59,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201030637_198201040500.csv,2.742,35711043.956,38.0,-95.75
1982-01-04 08:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201040300_198201041300.csv,3.791,6861365.836,43.0,-72.5
1982-01-12 08:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201111300_198201121400.csv,5.605,2203799.77,31.0,-95.5
1982-01-12 20:49,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201121200_198201130618.csv,6.254,2066563.016,32.25,-86.75
1982-01-13 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201130315_198201140500.csv,5.364,4956036309.884,35.75,-79.0
1982-01-13 18:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201131200_198201132100.csv,2.267,46032.028,29.75,-94.25
1982-01-14 19:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201141600_198201142200.csv,4.755,58372.416,37.0,-76.25
1982-01-16 11:40,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201161001_198201161500.csv,0.894,2890904.835,34.75,-82.25
1982-01-19 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201190000_198201190800.csv,5.012,12043913.124,37.5,-83.5
1982-01-19 14:40,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201191016_198201200111.csv,2.615,607489386.105,38.0,-77.5
1982-01-21 00:15,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201201400_198201211400.csv,3.011,369280.722,39.75,-84.25
1982-01-22 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201212100_198201222300.csv,2.416,226932635.856,40.5,-94.25
1982-01-23 00:21,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201221500_198201231400.csv,5.911,17061506752.394,41.0,-82.75
1982-01-23 16:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201230800_198201240600.csv,3.455,279880937040.721,41.25,-75.5
1982-01-29 17:37,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201291400_198201300300.csv,3.595,3514809.558,40.75,-91.25
1982-01-30 10:38,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201300300_198201310400.csv,3.857,4686330339.088,41.5,-79.5
1982-01-31 15:22,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198201311100_198201312300.csv,3.59,19265495.704,41.25,-83.0
