station,start_time,zr_hours,label,duration,lon,lat
AMW,2015-11-30 02:36,3.85,0,11.63,-93.6185,41.9904
MIW,2015-11-30 05:15,3.1,0,2.63,-92.9163,42.1106
MCW,2015-11-30 05:34,2.08,0,16.32,-93.3261,43.1544
ALO,2015-11-30 07:04,3.1,0,3.35,-92.4013,42.5544
RST,2015-11-30 07:21,4.98,0,17.55,-92.4916,43.9041
OMA,2015-11-30 09:18,1.75,0,5.42,-95.8992,41.3103
OFF,2015-11-30 09:19,3.4,0,2.65,-95.9125,41.1183
DBQ,2015-11-30 10:15,0.9,0,0.63,-90.7091,42.3984
LSE,2015-11-30 10:18,0.72,0,0.58,-91.25,43.88
VOK,2015-11-30 12:14,0.1,0,0.0,-90.2532,43.9392
SPW,2015-11-30 14:53,0.85,0,2.0,-95.2101,43.1682
EST,2015-11-30 15:26,0.4,0,0.18,-94.7476,43.4008
FCM,2015-11-30 17:53,0.78,0,2.55,-93.4607,44.8261
