station,start_time,zr_hours,label,duration,lon,lat
SPW,2019-02-04 02:03,4.0,0,7.2,-95.2101,43.1682
RWF,2019-02-04 02:45,1.57,0,2.58,-95.08200000000001,44.5469
OFK,2019-02-04 02:50,0.58,0,0.5,-97.4351,41.9855
EST,2019-02-04 02:52,0.75,0,5.55,-94.7476,43.4008
SUX,2019-02-04 04:05,2.17,0,2.17,-96.3795,42.3917
STC,2019-02-04 05:50,0.82,0,4.67,-94.0513,45.5433
HYR,2019-02-04 06:38,3.33,0,6.82,-91.4442,46.0253
TQE,2019-02-04 06:40,0.35,0,0.33,-96.1779,41.7635
IMT,2019-02-04 07:05,3.47,0,19.5,-88.1146,45.8184
FSD,2019-02-04 07:25,0.17,0,0.08,-96.7536,43.5769
ASX,2019-02-04 07:35,3.85,0,7.75,-90.9189,46.5487
OMA,2019-02-04 08:17,0.13,0,0.05,-95.8992,41.3103
RHI,2019-02-04 08:50,5.33,0,7.58,-89.4675,45.6312
MCW,2019-02-04 09:25,0.33,0,0.25,-93.3261,43.1544
BRD,2019-02-04 10:25,0.92,0,3.33,-94.1308,46.4047
MIC,2019-02-04 10:44,0.77,0,0.68,-93.3511,45.0622
MSP,2019-02-04 10:49,0.67,0,3.68,-93.2313,44.8854
CYAM,2019-02-04 11:08,11.87,1,11.37,-84.5094,46.4833
CMX,2019-02-04 11:10,0.42,0,0.33,-88.4891,47.1684
RST,2019-02-04 14:08,0.47,0,0.45,-92.4916,43.9041
ANJ,2019-02-04 14:20,5.8,0,8.08,-84.3684,46.4792
EAU,2019-02-04 15:40,0.25,0,0.17,-91.4843,44.8658
