station,start_time,zr_hours,label,duration,lon,lat
DEC,2016-12-16 23:37,9.07,1,23.3,-88.8657,39.8346
GUS,2016-12-17 02:32,9.78,1,28.68,-86.1521,40.6481
FWA,2016-12-17 03:44,6.07,1,26.52,-85.1871,40.978
DAY,2016-12-17 04:00,10.72,1,29.33,-84.2186,39.9061
AOH,2016-12-17 04:35,6.8,1,27.67,-84.0267,40.7069
CMH,2016-12-17 04:43,8.95,1,29.7,-82.8808,39.9914
MNN,2016-12-17 05:20,6.42,1,28.0,-83.0635,40.6162
MFD,2016-12-17 06:52,11.85,1,26.05,-82.52,40.82
AOO,2016-12-17 09:00,6.12,1,8.33,-78.32,40.2964
LPR,2016-12-17 09:10,7.03,1,23.25,-82.1794,41.3461
BWI,2016-12-17 09:45,6.67,1,6.67,-76.6683,39.1754
FIG,2016-12-17 10:54,10.53,1,16.1,-78.4117,41.0467
AUG,2016-12-17 23:25,6.55,1,15.33,-69.8,44.32
BML,2016-12-18 06:50,6.4,1,6.67,-71.1786,44.5761
