station,start_time,zr_hours,label,duration,lon,lat
DTW,1990-02-14 03:00,7.23,1,39.0,-83.33,42.23
ERI,1990-02-14 08:00,17.82,1,38.0,-80.18,42.08
TOL,1990-02-14 08:00,6.52,1,49.0,-83.8014,41.5886
CLE,1990-02-14 08:39,17.07,1,27.72,-81.8528,41.405
FWA,1990-02-14 10:00,23.0,1,29.0,-85.1871,40.978
LAF,1990-02-14 10:00,13.02,1,19.0,-86.9333,40.4148
FDY,1990-02-14 10:13,10.27,1,24.78,-83.6686,41.0136
CAK,1990-02-14 10:32,20.47,1,22.47,-81.4422,40.9161
LBB,1990-02-14 11:00,6.0,1,6.0,-101.8228,33.6636
BFD,1990-02-14 12:00,13.65,1,28.0,-78.6401,41.8031
SPI,1990-02-14 12:00,7.55,1,16.0,-89.6839,39.8447
IRK,1990-02-14 12:00,9.37,1,31.0,-92.5433,40.0972
GUS,1990-02-14 13:00,19.28,1,25.0,-86.1521,40.6481
OJC,1990-02-14 13:00,11.3,1,30.0,-94.7392,38.85
END,1990-02-14 13:36,6.52,1,24.4,-97.9165,36.3392
YNG,1990-02-14 14:00,9.22,1,17.0,-80.6739,41.2544
PNC,1990-02-14 14:07,8.7,1,25.17,-97.1,36.73
SZL,1990-02-14 15:00,6.35,1,24.0,-93.54799999999999,38.7303
IAB,1990-02-14 15:00,6.2,1,24.0,-97.2673,37.623000000000005
HBR,1990-02-14 15:06,6.47,1,20.9,-99.0514,34.9913
OSU,1990-02-14 16:00,10.0,1,10.0,-83.08,40.08
CNU,1990-02-14 18:00,10.1,1,23.0,-95.4842,37.6703
MFD,1990-02-14 19:00,9.1,1,16.0,-82.52,40.82
DUJ,1990-02-15 00:00,11.0,1,13.0,-78.9,41.18
FOE,1990-02-15 02:00,6.0,1,16.0,-95.6636,38.9509
MKC,1990-02-15 03:00,7.0,1,14.0,-94.59299999999999,39.123000000000005
AVP,1990-02-15 04:00,6.0,1,6.0,-75.7227,41.3335
ELM,1990-02-15 06:00,9.0,1,11.0,-76.8994,42.1571
BGM,1990-02-15 06:00,15.28,1,20.0,-75.9797,42.2086
JXN,1990-02-15 06:00,12.42,1,16.0,-84.4594,42.2598
MTC,1990-02-15 08:00,7.82,1,20.0,-82.8355,42.6083
SWF,1990-02-15 08:00,6.42,1,28.0,-74.1048,41.5041
BDL,1990-02-15 10:25,8.8,1,21.58,-72.6825,41.9381
BUF,1990-02-15 11:00,13.83,1,43.0,-78.7358,42.9408
PTK,1990-02-15 11:00,6.0,1,16.0,-83.4201,42.6655
AZO,1990-02-15 12:00,6.0,1,10.0,-85.5519,42.2347
CEF,1990-02-15 12:00,9.47,1,23.0,-72.5348,42.193999999999996
UCA,1990-02-15 13:00,7.0,1,13.0,-75.3839,43.1451
IAG,1990-02-15 16:00,15.1,1,21.0,-78.9462,43.1073
GRR,1990-02-15 18:00,7.32,1,11.0,-85.52,42.88
ROC,1990-02-15 18:00,6.1,1,20.0,-77.6767,43.1167
SYR,1990-02-15 19:00,9.0,1,9.0,-76.1063,43.1112
ART,1990-02-15 20:00,10.18,1,28.0,-76.0262,43.9888
PSM,1990-02-15 23:25,6.53,1,31.58,-70.8233,43.0779
ORH,1990-02-16 00:00,6.0,1,12.0,-71.8757,42.2673
