station,start_time,zr_hours,label,duration,lon,lat
ELM,2004-12-22 14:53,1.0,0,0.0,-76.8994,42.1571
LHQ,2004-12-22 19:53,10.68,1,16.22,-82.6571,39.7556
VTA,2004-12-22 22:03,40.58,1,8.32,-82.4618,40.0247
CMH,2004-12-22 23:07,12.35,1,12.2,-82.8808,39.9914
PHD,2004-12-22 23:09,3.45,0,5.73,-81.4236,40.4719
OSU,2004-12-23 00:25,5.5,0,10.47,-83.08,40.08
GKJ,2004-12-23 01:15,5.37,0,6.63,-80.2147,41.6265
AKR,2004-12-23 01:35,6.63,1,12.65,-81.4669,41.0375
BJJ,2004-12-23 01:45,7.77,1,7.13,-81.8882,40.8748
YNG,2004-12-23 04:39,7.88,1,8.2,-80.6739,41.2544
CAR,2004-12-23 05:43,0.4,0,0.32,-68.02,46.87
CAK,2004-12-23 06:17,7.98,1,7.57,-81.4422,40.9161
ERI,2004-12-23 07:26,3.33,0,4.42,-80.18,42.08
FVE,2004-12-23 07:27,0.25,0,0.2,-68.3127,47.2855
HZY,2004-12-23 07:29,4.58,0,8.07,-80.6955,41.778
DKK,2004-12-23 07:53,3.0,0,2.0,-79.27199999999999,42.4933
BUF,2004-12-23 07:54,2.0,0,1.0,-78.7358,42.9408
MFD,2004-12-23 07:55,3.55,0,3.75,-82.52,40.82
BKL,2004-12-23 08:27,1.88,0,1.82,-81.6833,41.5175
BDL,2004-12-23 08:51,0.52,0,0.23,-72.6825,41.9381
AFN,2004-12-23 08:52,0.48,0,0.0,-72.003,42.8051
BTV,2004-12-23 08:54,1.0,0,0.0,-73.15,44.47
GTB,2004-12-23 08:55,1.0,0,0.0,-75.7195,44.0556
CLE,2004-12-23 08:55,3.93,0,3.78,-81.8528,41.405
MNN,2004-12-23 09:30,0.72,0,0.5,-83.0635,40.6162
ORE,2004-12-23 09:52,1.0,0,0.0,-72.2886,42.5701
CON,2004-12-23 10:28,1.78,0,3.38,-71.5011,43.1953
GFL,2004-12-23 10:53,2.0,0,1.0,-73.6103,43.3412
LOZ,2004-12-23 10:53,1.15,0,0.58,-84.07700000000001,37.086999999999996
IAG,2004-12-23 10:53,2.0,0,7.0,-78.9462,43.1073
IZG,2004-12-23 11:26,3.5,0,4.47,-70.9479,43.9911
JKL,2004-12-23 11:35,0.83,0,0.47,-83.3144,37.5914
BAF,2004-12-23 11:53,1.0,0,0.0,-72.7161,42.1578
CYOW,2004-12-23 12:11,5.6,0,4.82,-75.6692,45.3225
DAY,2004-12-23 12:29,0.22,0,0.12,-84.2186,39.9061
VSF,2004-12-23 12:54,1.0,0,0.0,-72.5173,43.3436
ROC,2004-12-23 12:54,1.0,0,0.0,-77.6767,43.1167
LEB,2004-12-23 13:26,0.68,0,0.45,-72.3042,43.6261
MPV,2004-12-23 13:51,1.0,0,0.0,-72.5623,44.2035
MWN,2004-12-23 13:55,3.9,0,12.0,-71.3035,44.2708
HTS,2004-12-23 14:25,0.43,0,0.0,-82.555,38.365
BML,2004-12-23 14:43,0.88,0,0.83,-71.1786,44.5761
PKB,2004-12-23 15:16,0.62,0,0.0,-81.4392,39.3451
HLG,2004-12-23 16:53,0.23,0,0.0,-80.6463,40.175
