station,start_time,zr_hours,label,duration,lon,lat
OKC,2017-01-13 09:20,8.73,1,51.42,-97.6006,35.3889
SGF,2017-01-13 09:29,10.77,1,11.6,-93.3897,37.2397
BVO,2017-01-13 10:22,9.72,1,38.18,-96.0112,36.7625
JLN,2017-01-13 10:29,9.57,1,40.43,-94.4952,37.1522
TBN,2017-01-13 10:36,8.33,1,42.37,-92.1407,37.7416
SWO,2017-01-13 10:50,10.95,1,46.67,-97.0857,36.1612
TUL,2017-01-13 10:53,12.72,1,33.72,-95.8881,36.1984
PWA,2017-01-13 10:55,9.68,1,43.55,-97.6471,35.5342
TIK,2017-01-13 11:58,8.35,1,27.98,-97.3866,35.4147
VIH,2017-01-13 12:10,12.5,1,51.72,-91.77,38.13
MDH,2017-01-13 13:15,7.13,1,10.1,-89.25,37.78
PPF,2017-01-13 13:15,13.23,1,46.75,-95.5042,37.3278
BLV,2017-01-13 13:22,7.02,1,17.95,-89.8352,38.5452
CPS,2017-01-13 14:00,9.8,1,22.67,-90.1562,38.5707
STL,2017-01-13 14:03,9.28,1,17.95,-90.3734,38.7524
SUS,2017-01-13 15:23,12.33,1,20.52,-90.6558,38.6572
CSM,2017-01-13 15:30,17.33,1,50.68,-99.2005,35.3398
WLD,2017-01-13 22:00,9.25,1,34.9,-97.0369,37.1681
GOK,2017-01-13 22:45,6.0,1,32.17,-97.4156,35.8498
ICT,2017-01-13 23:12,11.03,1,39.47,-97.43,37.65
