station,start_time,zr_hours,label,duration,lon,lat
AMA,1997-12-20 13:56,14.0,1,16.0,-101.7059,35.2194
LBB,1997-12-20 20:56,3.0,0,2.0,-101.8228,33.6636
DHT,1997-12-21 00:51,6.03,1,5.12,-102.5473,36.0226
BGD,1997-12-21 02:51,7.0,1,11.0,-101.3937,35.7009
GAG,1997-12-21 03:44,13.33,1,16.15,-99.7764,36.2955
CSM,1997-12-21 03:58,9.82,1,10.92,-99.2005,35.3398
ICT,1997-12-21 08:56,4.0,0,3.0,-97.43,37.65
DDC,1997-12-21 08:56,24.0,1,27.0,-99.9654,37.7631
IAB,1997-12-21 09:36,5.45,0,5.32,-97.2673,37.623000000000005
HUT,1997-12-21 09:53,7.0,1,13.0,-97.8606,38.0655
GCK,1997-12-21 10:54,13.0,1,22.0,-100.7244,37.9275
