station,start_time,zr_hours,label,duration,lon,lat
UNO,2019-02-10 09:24,2.22,0,6.85,-91.9027,36.8784
EMP,2019-02-10 09:28,1.6,0,2.2,-96.1897,38.3306
FOE,2019-02-10 10:00,0.18,0,0.17,-95.6636,38.9509
TOP,2019-02-10 10:05,0.25,0,1.42,-95.62,39.07
LWC,2019-02-10 10:24,0.53,0,0.77,-95.2115,39.0077
STL,2019-02-10 10:25,6.57,1,7.17,-90.3734,38.7524
FRI,2019-02-10 10:34,0.53,0,0.45,-96.7645,39.0526
OJC,2019-02-10 10:46,1.02,0,2.23,-94.7392,38.85
MHK,2019-02-10 10:49,0.27,0,0.18,-96.6778,39.1353
MDH,2019-02-10 10:50,3.07,0,4.93,-89.25,37.78
TBN,2019-02-10 10:51,0.83,0,4.08,-92.1407,37.7416
BLV,2019-02-10 10:55,6.08,1,6.58,-89.8352,38.5452
LXT,2019-02-10 11:10,0.83,0,0.75,-94.3714,38.9597
IXD,2019-02-10 11:10,1.0,0,1.58,-94.8903,38.8309
MKC,2019-02-10 11:10,0.75,0,0.83,-94.59299999999999,39.123000000000005
VIH,2019-02-10 11:10,2.88,0,5.33,-91.77,38.13
FNB,2019-02-10 11:15,5.58,0,34.75,-95.59200000000001,40.0788
SZL,2019-02-10 11:23,1.03,0,0.55,-93.54799999999999,38.7303
CPS,2019-02-10 11:35,4.55,0,6.08,-90.1562,38.5707
SUS,2019-02-10 11:45,3.25,0,3.17,-90.6558,38.6572
JEF,2019-02-10 11:45,1.67,0,1.67,-92.1561,38.5912
COU,2019-02-10 11:54,2.85,0,2.93,-92.2183,38.8169
SET,2019-02-10 12:40,3.82,0,5.0,-90.43,38.93
ALN,2019-02-10 12:55,4.92,0,3.87,-90.046,38.8899
